PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"18048412","DrugBank: a knowledgebase for drugs, drug actions and drug targets","Wishart DS, Knox C, Guo AC, Cheng D, Shrivastava S, Tzur D, Gautam B, Hassanali M.","Nucleic Acids Res. 2008 Jan;36(Database issue):D901-6. doi: 10.1093/nar/gkm958. Epub 2007 Nov 29.","Wishart DS","Nucleic Acids Res","2008","2007/12/01","PMC2238889","","10.1093/nar/gkm958"
"37789278","Graph regularized non-negative matrix factorization with [Formula: see text] norm regularization terms for drug-target interactions prediction","Zhang J, Xie M.","BMC Bioinformatics. 2023 Oct 3;24(1):375. doi: 10.1186/s12859-023-05496-6.","Zhang J","BMC Bioinformatics","2023","2023/10/03","PMC10548602","","10.1186/s12859-023-05496-6"
"37762445","AMMVF-DTI: A Novel Model Predicting Drug-Target Interactions Based on Attention Mechanism and Multi-View Fusion","Wang L, Zhou Y, Chen Q.","Int J Mol Sci. 2023 Sep 15;24(18):14142. doi: 10.3390/ijms241814142.","Wang L","Int J Mol Sci","2023","2023/09/28","PMC10531525","","10.3390/ijms241814142"
"37731739","Graph generative and adversarial strategy-enhanced node feature learning and self-calibrated pairwise attribute encoding for prediction of drug-related side effects","Xuan P, Xu K, Cui H, Nakaguchi T, Zhang T.","Front Pharmacol. 2023 Sep 4;14:1257842. doi: 10.3389/fphar.2023.1257842. eCollection 2023.","Xuan P","Front Pharmacol","2023","2023/09/21","PMC10507253","","10.3389/fphar.2023.1257842"
"37725353","BQsupports: systematic assessment of the support and novelty of new biomedical associations","Fernández-Torras A, Locatelli M, Bertoni M, Aloy P.","Bioinformatics. 2023 Sep 2;39(9):btad581. doi: 10.1093/bioinformatics/btad581.","Fernández-Torras A","Bioinformatics","2023","2023/09/19","PMC10521632","","10.1093/bioinformatics/btad581"
"37710391","Drug repurposing based on differentially expressed genes suggests drug combinations with possible synergistic effects in treatment of lung adenocarcinoma","Yesharim L, Teimourian S.","Cancer Biol Ther. 2023 Dec 31;24(1):2253586. doi: 10.1080/15384047.2023.2253586.","Yesharim L","Cancer Biol Ther","2023","2023/09/15","PMC10506443","","10.1080/15384047.2023.2253586"
"37696195","Drug repurposing on Alzheimer's disease through modulation of NRF2 neighborhood","Bourdakou MM, Fernández-Ginés R, Cuadrado A, Spyrou GM.","Redox Biol. 2023 Nov;67:102881. doi: 10.1016/j.redox.2023.102881. Epub 2023 Sep 7.","Bourdakou MM","Redox Biol","2023","2023/09/11","PMC10500459","","10.1016/j.redox.2023.102881"
"37670359","Total network controllability analysis discovers explainable drugs for Covid-19 treatment","Wei X, Pan C, Zhang X, Zhang W.","Biol Direct. 2023 Sep 5;18(1):55. doi: 10.1186/s13062-023-00410-9.","Wei X","Biol Direct","2023","2023/09/05","PMC10478273","","10.1186/s13062-023-00410-9"
"37636945","Diversity and Chemical Space Characterization of Inhibitors of the Epigenetic Target G9a: A Chemoinformatics Approach","Cedillo-González R, Medina-Franco JL.","ACS Omega. 2023 Aug 11;8(33):30694-30704. doi: 10.1021/acsomega.3c04566. eCollection 2023 Aug 22.","Cedillo-González R","ACS Omega","2023","2023/08/28","PMC10448660","","10.1021/acsomega.3c04566"
"37633938","MCL-DTI: using drug multimodal information and bi-directional cross-attention learning method for predicting drug-target interaction","Qian Y, Li X, Wu J, Zhang Q.","BMC Bioinformatics. 2023 Aug 26;24(1):323. doi: 10.1186/s12859-023-05447-1.","Qian Y","BMC Bioinformatics","2023","2023/08/26","PMC10463755","","10.1186/s12859-023-05447-1"
