PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"29126136","DrugBank 5.0: a major update to the DrugBank database for 2018","Wishart DS, Feunang YD, Guo AC, Lo EJ, Marcu A, Grant JR, Sajed T, Johnson D, Li C, Sayeeda Z, Assempour N, Iynkkaran I, Liu Y, Maciejewski A, Gale N, Wilson A, Chin L, Cummings R, Le D, Pon A, Knox C, Wilson M.","Nucleic Acids Res. 2018 Jan 4;46(D1):D1074-D1082. doi: 10.1093/nar/gkx1037.","Wishart DS","Nucleic Acids Res","2018","2017/11/11","PMC5753335","","10.1093/nar/gkx1037"
"37903760","PhysiBoSS 2.0: a sustainable integration of stochastic Boolean and agent-based modelling frameworks","Ponce-de-Leon M, Montagud A, Noël V, Meert A, Pradas G, Barillot E, Calzone L, Valencia A.","NPJ Syst Biol Appl. 2023 Oct 30;9(1):54. doi: 10.1038/s41540-023-00314-4.","Ponce-de-Leon M","NPJ Syst Biol Appl","2023","2023/10/31","PMC10616087","","10.1038/s41540-023-00314-4"
"37902900","Molecular Property Diagnostic Suite Compound Library (MPDS-CL): a structure-based classification of the chemical space","John L, Nagamani S, Mahanta HJ, Vaikundamani S, Kumar N, Kumar A, Jamir E, Priyadarsinee L, Sastry GN.","Mol Divers. 2023 Oct 30. doi: 10.1007/s11030-023-10752-1. Online ahead of print.","John L","Mol Divers","2023","2023/10/30","","","10.1007/s11030-023-10752-1"
"37901453","Robustness of quantifying mediating effects of genetically regulated expression on complex traits with mediated expression score regression","Lin C, Liu W, Jiang W, Zhao H.","Biol Methods Protoc. 2023 Oct 17;8(1):bpad024. doi: 10.1093/biomethods/bpad024. eCollection 2023.","Lin C","Biol Methods Protoc","2023","2023/10/30","PMC10599978","","10.1093/biomethods/bpad024"
"37900350","An approach for collaborative development of a federated biomedical knowledge graph-based question-answering system: Question-of-the-Month challenges","Fecho K, Bizon C, Issabekova T, Moxon S, Thessen AE, Abdollahi S, Baranzini SE, Belhu B, Byrd WE, Chung L, Crouse A, Duby MP, Ferguson S, Foksinska A, Forero L, Friedman J, Gardner V, Glusman G, Hadlock J, Hanspers K, Hinderer E, Hobbs C, Hyde G, Huang S, Koslicki D, Mease P, Muller S, Mungall CJ, Ramsey SA, Roach J, Rubin I, Schurman SH, Shalev A, Smith B, Soman K, Stemann S, Su AI, Ta C, Watkins PB, Williams MD, Wu C, Xu CH; Biomedical Data Translator Consortium.","J Clin Transl Sci. 2023 Sep 14;7(1):e214. doi: 10.1017/cts.2023.619. eCollection 2023.","Fecho K","J Clin Transl Sci","2023","2023/10/30","PMC10603356","","10.1017/cts.2023.619"
"37896229","PRID: Prediction Model Using RWR for Interactions between Drugs","Seo J, Jung H, Ko Y.","Pharmaceutics. 2023 Oct 15;15(10):2469. doi: 10.3390/pharmaceutics15102469.","Seo J","Pharmaceutics","2023","2023/10/28","PMC10610536","","10.3390/pharmaceutics15102469"
"37895859","Navigating the Chemical Space and Chemical Multiverse of a Unified Latin American Natural Product Database: LANaPDB","Gómez-García A, Jiménez DAA, Zamora WJ, Barazorda-Ccahuana HL, Chávez-Fumagalli MÁ, Valli M, Andricopulo AD, Bolzani VDS, Olmedo DA, Solís PN, Núñez MJ, Rodríguez Pérez JR, Valencia Sánchez HA, Cortés Hernández HF, Medina-Franco JL.","Pharmaceuticals (Basel). 2023 Sep 30;16(10):1388. doi: 10.3390/ph16101388.","Gómez-García A","Pharmaceuticals (Basel)","2023","2023/10/28","PMC10609821","","10.3390/ph16101388"
"37895339","Natural Perylenequinone Compounds as Potent Inhibitors of Schistosoma mansoni Glutathione S-Transferase","Otarigho B, Falade MO.","Life (Basel). 2023 Sep 25;13(10):1957. doi: 10.3390/life13101957.","Otarigho B","Life (Basel)","2023","2023/10/28","PMC10608284","","10.3390/life13101957"
"37894699","An Ultrafast UPLC-MS/MS Method for Characterizing the In Vitro Metabolic Stability of Acalabrutinib","Attwa MW, Bakheit AH, Abdelhameed AS, Kadi AA.","Molecules. 2023 Oct 23;28(20):7220. doi: 10.3390/molecules28207220.","Attwa MW","Molecules","2023","2023/10/28","PMC10609012","","10.3390/molecules28207220"
"37893139","The Role of NCS1 in Immunotherapy and Prognosis of Human Cancer","Wang GC, Gan X, Zeng YQ, Chen X, Kang H, Huang SW, Hu WH.","Biomedicines. 2023 Oct 12;11(10):2765. doi: 10.3390/biomedicines11102765.","Wang GC","Biomedicines","2023","2023/10/28","PMC10604305","","10.3390/biomedicines11102765"
"37887422","Synthesis of Metabolites and Metabolite-like Compounds Using Biocatalytic Systems","Wohlgemuth R.","Metabolites. 2023 Oct 19;13(10):1097. doi: 10.3390/metabo13101097.","Wohlgemuth R","Metabolites","2023","2023/10/27","PMC10608848","","10.3390/metabo13101097"
"37880698","Anti-atherosclerotic effects of naringenin and quercetin from Folium Artemisiae argyi by attenuating Interleukin-1 beta (IL-1β)/ matrix metalloproteinase 9 (MMP9): network pharmacology-based analysis and validation","Zhang L, Yang Z, Li X, Hua Y, Fan G, He F.","BMC Complement Med Ther. 2023 Oct 25;23(1):378. doi: 10.1186/s12906-023-04223-1.","Zhang L","BMC Complement Med Ther","2023","2023/10/26","PMC10601115","","10.1186/s12906-023-04223-1"
"37875944","Identification of asthma-related genes using asthmatic blood eQTLs of Korean patients","Kim DJ, Lim JE, Jung HU, Chung JY, Baek EJ, Jung H, Kwon SY, Kim HK, Kang JO, Park K, Won S, Kim TB, Oh B.","BMC Med Genomics. 2023 Oct 24;16(1):259. doi: 10.1186/s12920-023-01677-7.","Kim DJ","BMC Med Genomics","2023","2023/10/24","PMC10599017","","10.1186/s12920-023-01677-7"
"37874822","Interaction of amisulpride with GLUT1 at the blood-brain barrier. Relevance to Alzheimer's disease","Boyanova ST, Lloyd-Morris E, Corpe C, Rahman KM, Farag DB, Page LK, Wang H, Fleckney AL, Gatt A, Troakes C, Vizcay-Barrena G, Fleck R, Reeves SJ, Thomas SA.","PLoS One. 2023 Oct 24;18(10):e0286278. doi: 10.1371/journal.pone.0286278. eCollection 2023.","Boyanova ST","PLoS One","2023","2023/10/24","PMC10597500","","10.1371/journal.pone.0286278"
"37865667","Expanding causal genes for Parkinson's disease via multi-omics analysis","Gu XJ, Su WM, Dou M, Jiang Z, Duan QQ, Yin KF, Cao B, Wang Y, Li GB, Chen YP.","NPJ Parkinsons Dis. 2023 Oct 21;9(1):146. doi: 10.1038/s41531-023-00591-0.","Gu XJ","NPJ Parkinsons Dis","2023","2023/10/21","PMC10590374","","10.1038/s41531-023-00591-0"
"37862061","Potential Target Discovery and Drug Repurposing for Coronaviruses: Study Involving a Knowledge Graph-Based Approach","Lou P, Fang A, Zhao W, Yao K, Yang Y, Hu J.","J Med Internet Res. 2023 Oct 20;25:e45225. doi: 10.2196/45225.","Lou P","J Med Internet Res","2023","2023/10/20","PMC10592722","","10.2196/45225"
"37861962","Rheum palmatum L. and Salvia miltiorrhiza Bge. Alleviates Acute Pancreatitis by Regulating Th17 Cell Differentiation: An Integrated Network Pharmacology Analysis, Molecular Dynamics Simulation and Experimental Validation","Feng MC, Luo F, Huang LJ, Li K, Chen ZM, Li H, Yao C, Qin BJ, Chen GZ.","Chin J Integr Med. 2023 Oct 20. doi: 10.1007/s11655-023-3559-6. Online ahead of print.","Feng MC","Chin J Integr Med","2023","2023/10/20","","","10.1007/s11655-023-3559-6"
"37859983","Possible molecular exploration of herbal pair Haizao-Kunbu in the treatment of Graves' disease by network pharmacology, molecular docking, and molecular dynamic analysis","Yang M, Lai Y, Gan D, Liu Q, Wang Y, He X, An Y, Gao T.","Front Endocrinol (Lausanne). 2023 Oct 4;14:1236549. doi: 10.3389/fendo.2023.1236549. eCollection 2023.","Yang M","Front Endocrinol (Lausanne)","2023","2023/10/20","PMC10583570","","10.3389/fendo.2023.1236549"
"37848584","Unlocking potential inhibitors for Bruton's tyrosine kinase through in-silico drug repurposing strategies","Alrouji M, Benjamin LS, Alhumaydhi FA, Al Abdulmonem W, Baeesa SS, Rehan M, Shahwan M, Shamsi A, Akhtar A.","Sci Rep. 2023 Oct 17;13(1):17684. doi: 10.1038/s41598-023-44956-0.","Alrouji M","Sci Rep","2023","2023/10/17","PMC10582150","","10.1038/s41598-023-44956-0"
"37845222","Expanding PROTACtable genome universe of E3 ligases","Liu Y, Yang J, Wang T, Luo M, Chen Y, Chen C, Ronai Z, Zhou Y, Ruppin E, Han L.","Nat Commun. 2023 Oct 16;14(1):6509. doi: 10.1038/s41467-023-42233-2.","Liu Y","Nat Commun","2023","2023/10/16","PMC10579327","","10.1038/s41467-023-42233-2"
"37843810","Discovering New Natural Products Using Metabolomics-Based Approaches","de Medeiros LS, de Araújo Júnior MB, Peres EG, da Silva JCI, Bassicheto MC, Di Gioia G, Veiga TAM, Koolen HHF.","Adv Exp Med Biol. 2023;1439:185-224. doi: 10.1007/978-3-031-41741-2_8.","de Medeiros LS","Adv Exp Med Biol","2023","2023/10/16","","","10.1007/978-3-031-41741-2_8"
"37841911","A new method to quantify the effect of co-medication on the efficacy of abiraterone in metastatic castration-resistant prostate cancer patients","Fekete B, Bársony L, Biró K, Gyergyay F, Géczi L, Patócs A, Budai B.","Front Pharmacol. 2023 Sep 28;14:1220457. doi: 10.3389/fphar.2023.1220457. eCollection 2023.","Fekete B","Front Pharmacol","2023","2023/10/16","PMC10568029","","10.3389/fphar.2023.1220457"
"37841897","A solution and practice for combining multi-source heterogeneous data to construct enterprise knowledge graph","Yan C, Fang X, Huang X, Guo C, Wu J.","Front Big Data. 2023 Sep 28;6:1278153. doi: 10.3389/fdata.2023.1278153. eCollection 2023.","Yan C","Front Big Data","2023","2023/10/16","PMC10569599","","10.3389/fdata.2023.1278153"
"37840815","ShinyTPs: Curating Transformation Products from Text Mining Results","Palm EH, Chirsir P, Krier J, Thiessen PA, Zhang J, Bolton EE, Schymanski EL.","Environ Sci Technol Lett. 2023 Sep 29;10(10):865-871. doi: 10.1021/acs.estlett.3c00537. eCollection 2023 Oct 10.","Palm EH","Environ Sci Technol Lett","2023","2023/10/16","PMC10569035","","10.1021/acs.estlett.3c00537"
"37833792","Analysis of metabolites in human gut: illuminating the design of gut-targeted drugs","Gil-Pichardo A, Sánchez-Ruiz A, Colmenarejo G.","J Cheminform. 2023 Oct 13;15(1):96. doi: 10.1186/s13321-023-00768-y.","Gil-Pichardo A","J Cheminform","2023","2023/10/14","PMC10571276","","10.1186/s13321-023-00768-y"
"37833363","Network pharmacology and experimental verification of the potential mechanism of Er-Xian decoction in aplastic anemia","Ye M, Liu G, Yang Y, Yang H, Ren J, Chen W, Gao Z.","Sci Rep. 2023 Oct 13;13(1):17385. doi: 10.1038/s41598-023-44672-9.","Ye M","Sci Rep","2023","2023/10/13","PMC10575897","","10.1038/s41598-023-44672-9"
"37829020","TCMBank: bridges between the largest herbal medicines, chemical ingredients, target proteins, and associated diseases with intelligence text mining","Lv Q, Chen G, He H, Yang Z, Zhao L, Chen HY, Chen CY.","Chem Sci. 2023 Aug 8;14(39):10684-10701. doi: 10.1039/d3sc02139d. eCollection 2023 Oct 11.","Lv Q","Chem Sci","2023","2023/10/13","PMC10566508","","10.1039/d3sc02139d"
"37816826","Computational screen for sex-specific drug effects in a cardiac fibroblast signaling network model","Watts KM, Nichols W, Richardson WJ.","Sci Rep. 2023 Oct 10;13(1):17068. doi: 10.1038/s41598-023-44440-9.","Watts KM","Sci Rep","2023","2023/10/10","PMC10564891","","10.1038/s41598-023-44440-9"
"37816770","Proteomic meta-study harmonization, mechanotyping and drug repurposing candidate prediction with ProHarMeD","Adamowicz K, Arend L, Maier A, Schmidt JR, Kuster B, Tsoy O, Zolotareva O, Baumbach J, Laske T.","NPJ Syst Biol Appl. 2023 Oct 10;9(1):49. doi: 10.1038/s41540-023-00311-7.","Adamowicz K","NPJ Syst Biol Appl","2023","2023/10/10","PMC10564802","","10.1038/s41540-023-00311-7"
"37813638","Multi-epitope vaccine against drug-resistant strains of Mycobacterium tuberculosis: a proteome-wide subtraction and immunoinformatics approach","Khan MT, Mahmud A, Islam MM, Sumaia MSN, Rahim Z, Islam K, Iqbal A.","Genomics Inform. 2023 Sep;21(3):e42. doi: 10.5808/gi.23021. Epub 2023 Sep 27.","Khan MT","Genomics Inform","2023","2023/10/09","PMC10584640","","10.5808/gi.23021"
"37812646","Pan-cancer characterization of ncRNA synergistic competition uncovers potential carcinogenic biomarkers","Zhang J, Liu L, Wei X, Zhao C, Li S, Li J, Le TD.","PLoS Comput Biol. 2023 Oct 9;19(10):e1011308. doi: 10.1371/journal.pcbi.1011308. eCollection 2023 Oct.","Zhang J","PLoS Comput Biol","2023","2023/10/09","PMC10586676","","10.1371/journal.pcbi.1011308"
"37810721","In Silico and In Vitro Potential of FDA-Approved Drugs for Antimalarial Drug Repurposing against Plasmodium Serine Hydroxymethyltransferases","Mee-Udorn P, Phiwkaow K, Tinikul R, Sanachai K, Maenpuen S, Rungrotmongkol T.","ACS Omega. 2023 Sep 18;8(39):35580-35591. doi: 10.1021/acsomega.3c01309. eCollection 2023 Oct 3.","Mee-Udorn P","ACS Omega","2023","2023/10/09","PMC10552471","","10.1021/acsomega.3c01309"
"37809603","Network analysis and experimental approach to investigate the potential therapeutic mechanism of zishen yutai pills on premature ovarian insufficiency","Song Z, Song K, Zhao H, He Y, Hu J.","Heliyon. 2023 Sep 17;9(9):e20025. doi: 10.1016/j.heliyon.2023.e20025. eCollection 2023 Sep.","Song Z","Heliyon","2023","2023/10/09","PMC10559743","","10.1016/j.heliyon.2023.e20025"
"37809092","Potential drug targets for asthma identified in the plasma and brain through Mendelian randomization analysis","Wang Y, Wang J, Yan Z, Liu S, Xu W.","Front Immunol. 2023 Sep 21;14:1240517. doi: 10.3389/fimmu.2023.1240517. eCollection 2023.","Wang Y","Front Immunol","2023","2023/10/09","PMC10551444","","10.3389/fimmu.2023.1240517"
"37808899","Lianhua Qingke ameliorates lipopolysaccharide-induced lung injury by inhibiting neutrophil extracellular traps formation and pyroptosis","Peng W, Qi H, Zhu W, Tong L, Rouzi A, Wu Y, Han L, He L, Yan Y, Pan T, Liu J, Wang Q, Jia Z, Song Y, Zhu Q, Zhou J.","Pulm Circ. 2023 Oct 6;13(4):e12295. doi: 10.1002/pul2.12295. eCollection 2023 Oct.","Peng W","Pulm Circ","2023","2023/10/09","PMC10557103","","10.1002/pul2.12295"
