PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"26481353","ECMDB 2.0: A richer resource for understanding the biochemistry of E. coli","Sajed T, Marcu A, Ramirez M, Pon A, Guo AC, Knox C, Wilson M, Grant JR, Djoumbou Y, Wishart DS.","Nucleic Acids Res. 2016 Jan 4;44(D1):D495-501. doi: 10.1093/nar/gkv1060. Epub 2015 Oct 19.","Sajed T","Nucleic Acids Res","2016","2015/10/21","PMC4702790","","10.1093/nar/gkv1060"
"37887422","Synthesis of Metabolites and Metabolite-like Compounds Using Biocatalytic Systems","Wohlgemuth R.","Metabolites. 2023 Oct 19;13(10):1097. doi: 10.3390/metabo13101097.","Wohlgemuth R","Metabolites","2023","2023/10/27","PMC10608848","","10.3390/metabo13101097"
"37887413","Animal Metabolite Database: Metabolite Concentrations in Animal Tissues and Convenient Comparison of Quantitative Metabolomic Data","Yanshole VV, Melnikov AD, Yanshole LV, Zelentsova EA, Snytnikova OA, Osik NA, Fomenko MV, Savina ED, Kalinina AV, Sharshov KA, Dubovitskiy NA, Kobtsev MS, Zaikovskii AA, Mariasina SS, Tsentalovich YP.","Metabolites. 2023 Oct 17;13(10):1088. doi: 10.3390/metabo13101088.","Yanshole VV","Metabolites","2023","2023/10/27","PMC10609207","","10.3390/metabo13101088"
"37843808","Advances in Microbial NMR Metabolomics","Borges RM, Gouveia GJ, das Chagas FO.","Adv Exp Med Biol. 2023;1439:123-147. doi: 10.1007/978-3-031-41741-2_6.","Borges RM","Adv Exp Med Biol","2023","2023/10/16","","","10.1007/978-3-031-41741-2_6"
"37626661","Pharmacometabolomic Approach to Investigate the Response to Metformin in Patients with Type 2 Diabetes: A Cross-Sectional Study","Naja K, Anwardeen N, Al-Hariri M, Al Thani AA, Elrayess MA.","Biomedicines. 2023 Aug 1;11(8):2164. doi: 10.3390/biomedicines11082164.","Naja K","Biomedicines","2023","2023/08/26","PMC10452592","","10.3390/biomedicines11082164"
"37424541","Metabolic perturbations and key pathways associated with the bacteriostatic activity of Clitoria ternatea flower anthocyanin fraction against Escherichia coli","Jeyaraj EJ, Han ML, Li J, Choo WS.","Access Microbiol. 2023 Jun 28;5(6):acmi000535.v5. doi: 10.1099/acmi.0.000535.v5. eCollection 2023.","Jeyaraj EJ","Access Microbiol","2023","2023/07/10","PMC10323780","","10.1099/acmi.0.000535.v5"
"37234898","Chemoselective bicyclobutane-based mass spectrometric detection of biological thiols uncovers human and bacterial metabolites","Kaur A, Lin W, Dovhalyuk V, Driutti L, Di Martino ML, Vujasinovic M, Löhr JM, Sellin ME, Globisch D.","Chem Sci. 2023 Apr 6;14(20):5291-5301. doi: 10.1039/d3sc00224a. eCollection 2023 May 24.","Kaur A","Chem Sci","2023","2023/05/26","PMC10207876","","10.1039/d3sc00224a"
"37178003","MBROLE3: improved functional enrichment of chemical compounds for metabolomics data analysis","Lopez-Ibañez J, Pazos F, Chagoyen M.","Nucleic Acids Res. 2023 Jul 5;51(W1):W305-W309. doi: 10.1093/nar/gkad405.","Lopez-Ibañez J","Nucleic Acids Res","2023","2023/05/13","PMC10320153","","10.1093/nar/gkad405"
"37052416","A Hitchhiker's Guide to Supplying Enzymatic Reducing Power into Synthetic Cells","Partipilo M, Claassens NJ, Slotboom DJ.","ACS Synth Biol. 2023 Apr 21;12(4):947-962. doi: 10.1021/acssynbio.3c00070. Epub 2023 Apr 13.","Partipilo M","ACS Synth Biol","2023","2023/04/13","PMC10127272","","10.1021/acssynbio.3c00070"
"36930598","Plant and microbial sciences as key drivers in the development of metabolomics research","Aharoni A, Goodacre R, Fernie AR.","Proc Natl Acad Sci U S A. 2023 Mar 21;120(12):e2217383120. doi: 10.1073/pnas.2217383120. Epub 2023 Mar 17.","Aharoni A","Proc Natl Acad Sci U S A","2023","2023/03/17","PMC10041103","","10.1073/pnas.2217383120"
