PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"27924041","Exposome-Explorer: a manually-curated database on biomarkers of exposure to dietary and environmental factors","Neveu V, Moussy A, Rouaix H, Wedekind R, Pon A, Knox C, Wishart DS, Scalbert A.","Nucleic Acids Res. 2017 Jan 4;45(D1):D979-D984. doi: 10.1093/nar/gkw980. Epub 2016 Oct 24.","Neveu V","Nucleic Acids Res","2017","2016/12/08","PMC5210656","","10.1093/nar/gkw980"
"37165157","The contribution of the exposome to the burden of cardiovascular disease","Münzel T, Sørensen M, Hahad O, Nieuwenhuijsen M, Daiber A.","Nat Rev Cardiol. 2023 Oct;20(10):651-669. doi: 10.1038/s41569-023-00873-3. Epub 2023 May 10.","Münzel T","Nat Rev Cardiol","2023","2023/05/10","","","10.1038/s41569-023-00873-3"
"37117186","A precision environmental health approach to prevention of human disease","Baccarelli A, Dolinoy DC, Walker CL.","Nat Commun. 2023 Apr 28;14(1):2449. doi: 10.1038/s41467-023-37626-2.","Baccarelli A","Nat Commun","2023","2023/04/28","PMC10147599","","10.1038/s41467-023-37626-2"
"36913238","HExpPredict: In Vivo Exposure Prediction of Human Blood Exposome Using a Random Forest Model and Its Application in Chemical Risk Prioritization","Zhao F, Li L, Lin P, Chen Y, Xing S, Du H, Wang Z, Yang J, Huan T, Long C, Zhang L, Wang B, Fang M.","Environ Health Perspect. 2023 Mar;131(3):37009. doi: 10.1289/EHP11305. Epub 2023 Mar 13.","Zhao F","Environ Health Perspect","2023","2023/03/13","PMC10010393","","10.1289/EHP11305"
"36732606","The human microbial exposome: expanding the Exposome-Explorer database with gut microbial metabolites","Neveu V, Nicolas G, Amara A, Salek RM, Scalbert A.","Sci Rep. 2023 Feb 2;13(1):1946. doi: 10.1038/s41598-022-26366-w.","Neveu V","Sci Rep","2023","2023/02/02","PMC9894932","","10.1038/s41598-022-26366-w"
"36479478","Metabolomics application for the design of an optimal diet","Naureen Z, Cristoni S, Donato K, Medori MC, Samaja M, Herbst KL, Aquilanti B, Velluti V, Matera G, Fioretti F, Iaconelli A, Perrone MA, DI Giulio L, Gregorace E, Chiurazzi P, Nodari S, Connelly ST, Bertelli M.","J Prev Med Hyg. 2022 Oct 17;63(2 Suppl 3):E142-E149. doi: 10.15167/2421-4248/jpmh2022.63.2S3.2755. eCollection 2022 Jun.","Naureen Z","J Prev Med Hyg","2022","2022/12/08","PMC9710392","","10.15167/2421-4248/jpmh2022.63.2S3.2755"
"36463310","Introducing ligand GA, a genetic algorithm molecular tool for automated protein inhibitor design","Chalmers G.","Sci Rep. 2022 Dec 3;12(1):20877. doi: 10.1038/s41598-022-22281-2.","Chalmers G","Sci Rep","2022","2022/12/03","PMC9719503","","10.1038/s41598-022-22281-2"
"36411288","Multi-omics signatures of the human early life exposome","Maitre L, Bustamante M, Hernández-Ferrer C, Thiel D, Lau CE, Siskos AP, Vives-Usano M, Ruiz-Arenas C, Pelegrí-Sisó D, Robinson O, Mason D, Wright J, Cadiou S, Slama R, Heude B, Casas M, Sunyer J, Papadopoulou EZ, Gutzkow KB, Andrusaityte S, Grazuleviciene R, Vafeiadi M, Chatzi L, Sakhi AK, Thomsen C, Tamayo I, Nieuwenhuijsen M, Urquiza J, Borràs E, Sabidó E, Quintela I, Carracedo Á, Estivill X, Coen M, González JR, Keun HC, Vrijheid M.","Nat Commun. 2022 Nov 21;13(1):7024. doi: 10.1038/s41467-022-34422-2.","Maitre L","Nat Commun","2022","2022/11/21","PMC9678903","","10.1038/s41467-022-34422-2"
"36356208","Bring Your Own Location Data: Use of Google Smartphone Location History Data for Environmental Health Research","Hystad P, Amram O, Oje F, Larkin A, Boakye K, Avery A, Gebremedhin A, Duncan G.","Environ Health Perspect. 2022 Nov;130(11):117005. doi: 10.1289/EHP10829. Epub 2022 Nov 10.","Hystad P","Environ Health Perspect","2022","2022/11/10","PMC9648904","","10.1289/EHP10829"
"36284750","The NORMAN Suspect List Exchange (NORMAN-SLE): facilitating European and worldwide collaboration on suspect screening in high resolution mass spectrometry","Mohammed Taha H, Aalizadeh R, Alygizakis N, Antignac JP, Arp HPH, Bade R, Baker N, Belova L, Bijlsma L, Bolton EE, Brack W, Celma A, Chen WL, Cheng T, Chirsir P, Čirka Ľ, D'Agostino LA, Djoumbou Feunang Y, Dulio V, Fischer S, Gago-Ferrero P, Galani A, Geueke B, Głowacka N, Glüge J, Groh K, Grosse S, Haglund P, Hakkinen PJ, Hale SE, Hernandez F, Janssen EM, Jonkers T, Kiefer K, Kirchner M, Koschorreck J, Krauss M, Krier J, Lamoree MH, Letzel M, Letzel T, Li Q, Little J, Liu Y, Lunderberg DM, Martin JW, McEachran AD, McLean JA, Meier C, Meijer J, Menger F, Merino C, Muncke J, Muschket M, Neumann M, Neveu V, Ng K, Oberacher H, O'Brien J, Oswald P, Oswaldova M, Picache JA, Postigo C, Ramirez N, Reemtsma T, Renaud J, Rostkowski P, Rüdel H, Salek RM, Samanipour S, Scheringer M, Schliebner I, Schulz W, Schulze T, Sengl M, Shoemaker BA, Sims K, Singer H, Singh RR, Sumarah M, Thiessen PA, Thomas KV, Torres S, Trier X, van Wezel AP, Vermeulen RCH, Vlaanderen JJ, von der Ohe PC, Wang Z, Williams AJ, Willighagen EL, Wishart DS, Zhang J, Thomaidis NS, Hollender J, Slobodnik J, Schymanski EL.","Environ Sci Eur. 2022;34(1):104. doi: 10.1186/s12302-022-00680-6. Epub 2022 Oct 21.","Mohammed Taha H","Environ Sci Eur","2022","2022/10/26","PMC9587084","","10.1186/s12302-022-00680-6"
