PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"18502700","The human cerebrospinal fluid metabolome","Wishart DS, Lewis MJ, Morrissey JA, Flegel MD, Jeroncic K, Xiong Y, Cheng D, Eisner R, Gautam B, Tzur D, Sawhney S, Bamforth F, Greiner R, Li L.","J Chromatogr B Analyt Technol Biomed Life Sci. 2008 Aug 15;871(2):164-73. doi: 10.1016/j.jchromb.2008.05.001. Epub 2008 May 8.","Wishart DS","J Chromatogr B Analyt Technol Biomed Life Sci","2008","2008/05/27","","","10.1016/j.jchromb.2008.05.001"
"37719197","Integrative multi-omics and systems bioinformatics in translational neuroscience: A data mining perspective","O'Connor LM, O'Connor BA, Lim SB, Zeng J, Lo CH.","J Pharm Anal. 2023 Aug;13(8):836-850. doi: 10.1016/j.jpha.2023.06.011. Epub 2023 Jun 30.","O'Connor LM","J Pharm Anal","2023","2023/09/18","PMC10499660","","10.1016/j.jpha.2023.06.011"
"37179982","Trends in Population-Based Studies: Molecular and Digital Epidemiology (Review)","Denisov NS, Kamenskikh EM, Fedorova OS.","Sovrem Tekhnologii Med. 2022;14(4):60-70. doi: 10.17691/stm2022.14.4.07. Epub 2022 Jul 29.","Denisov NS","Sovrem Tekhnologii Med","2022","2023/05/14","PMC10171044","","10.17691/stm2022.14.4.07"
"37110227","Cerebrospinal Fluid Metabolomics: Pilot Study of Using Metabolomics to Assess Diet and Metabolic Interventions in Alzheimer's Disease and Mild Cognitive Impairment","Hanson AJ, Banks WA, Bettcher LF, Pepin R, Raftery D, Navarro SL, Craft S.","Metabolites. 2023 Apr 17;13(4):569. doi: 10.3390/metabo13040569.","Hanson AJ","Metabolites","2023","2023/04/28","PMC10145981","","10.3390/metabo13040569"
"36994515","Liver metabolomic characteristics in three different rat models of deficiency based on ultra-performance liquid chromatography coupled to quadrupole time-of-flight mass spectrometry","Xingyao HU, Hongning L, Xiaojun Y, Zhong C, Liu FU, Ge L, Xuan C, Guangbin S.","J Tradit Chin Med. 2023 Apr;43(2):274-285. doi: 10.19852/j.cnki.jtcm.20230201.001.","Xingyao HU","J Tradit Chin Med","2023","2023/03/30","PMC10012192","","10.19852/j.cnki.jtcm.20230201.001"
"36720471","Multifaceted Analysis of Cerebrospinal Fluid and Serum from Progressive Multiple Sclerosis Patients: Potential Role of Vitamin C and Metal Ion Imbalance in the Divergence of Primary Progressive Multiple Sclerosis and Secondary Progressive Multiple Sclerosis","Pomary PK, Eichau S, Amigó N, Barrios L, Matesanz F, García-Valdecasas M, Hrom I, García Sánchez MI, Garcia-Martin ML.","J Proteome Res. 2023 Mar 3;22(3):743-757. doi: 10.1021/acs.jproteome.2c00460. Epub 2023 Jan 31.","Pomary PK","J Proteome Res","2023","2023/01/31","PMC9990127","","10.1021/acs.jproteome.2c00460"
"36271165","Practical Aspects of NMR-Based Metabolomics","Wishart DS, Rout M, Lee BL, Berjanskii M, LeVatte M, Lipfert M.","Handb Exp Pharmacol. 2023;277:1-41. doi: 10.1007/164_2022_613.","Wishart DS","Handb Exp Pharmacol","2023","2022/10/21","","","10.1007/164_2022_613"
"35715683","NMR-Based Metabolomics of Rat Hippocampus, Serum, and Urine in Two Models of Autism","Toczylowska B, Zieminska E, Polowy R, Olszynski KH, Lazarewicz JW.","Mol Neurobiol. 2022 Sep;59(9):5452-5475. doi: 10.1007/s12035-022-02912-5. Epub 2022 Jun 17.","Toczylowska B","Mol Neurobiol","2022","2022/06/17","","","10.1007/s12035-022-02912-5"
"35448464","Predictive Modeling of Alzheimer's and Parkinson's Disease Using Metabolomic and Lipidomic Profiles from Cerebrospinal Fluid","Hwangbo N, Zhang X, Raftery D, Gu H, Hu SC, Montine TJ, Quinn JF, Chung KA, Hiller AL, Wang D, Fei Q, Bettcher L, Zabetian CP, Peskind ER, Li G, Promislow DEL, Davis MY, Franks A.","Metabolites. 2022 Mar 22;12(4):277. doi: 10.3390/metabo12040277.","Hwangbo N","Metabolites","2022","2022/04/21","PMC9029812","","10.3390/metabo12040277"
"35057642","Glutaminolysis and the Control of Neural Progenitors in Neocortical Development and Evolution","Gkini V, Namba T.","Neuroscientist. 2023 Apr;29(2):177-189. doi: 10.1177/10738584211069060. Epub 2022 Jan 20.","Gkini V","Neuroscientist","2023","2022/01/21","PMC10018057","","10.1177/10738584211069060"
