PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"23161693","HMDB 3.0--The Human Metabolome Database in 2013","Wishart DS, Jewison T, Guo AC, Wilson M, Knox C, Liu Y, Djoumbou Y, Mandal R, Aziat F, Dong E, Bouatra S, Sinelnikov I, Arndt D, Xia J, Liu P, Yallou F, Bjorndahl T, Perez-Pineiro R, Eisner R, Allen F, Neveu V, Greiner R, Scalbert A.","Nucleic Acids Res. 2013 Jan;41(Database issue):D801-7. doi: 10.1093/nar/gks1065. Epub 2012 Nov 17.","Wishart DS","Nucleic Acids Res","2013","2012/11/20","PMC3531200","","10.1093/nar/gks1065"
"37833072","The coenzyme A precursor pantethine enhances antitumor immunity in sarcoma","Miallot R, Millet V, Roger A, Fenouil R, Tardivel C, Martin JC, Shintu L, Berchard P, Sousa Lanza J, Malissen B, Henri S, Ugolini S, Dutour A, Finetti P, Bertucci F, Blay JY, Galland F, Naquet P.","Life Sci Alliance. 2023 Oct 13;6(12):e202302200. doi: 10.26508/lsa.202302200. Print 2023 Dec.","Miallot R","Life Sci Alliance","2023","2023/10/13","PMC10583838","","10.26508/lsa.202302200"
"37794592","An early-life microbiota metabolite protects against obesity by regulating intestinal lipid metabolism","Shelton CD, Sing E, Mo J, Shealy NG, Yoo W, Thomas J, Fitz GN, Castro PR, Hickman TT, Torres TP, Foegeding NJ, Zieba JK, Calcutt MW, Codreanu SG, Sherrod SD, McLean JA, Peck SH, Yang F, Markham NO, Liu M, Byndloss MX.","Cell Host Microbe. 2023 Oct 11;31(10):1604-1619.e10. doi: 10.1016/j.chom.2023.09.002. Epub 2023 Oct 3.","Shelton CD","Cell Host Microbe","2023","2023/10/05","PMC10593428","NIHMS1931617","10.1016/j.chom.2023.09.002"
"37765292","Intracellular Fate of the Photosensitizer Chlorin e4 with Different Carriers and Induced Metabolic Changes Studied by (1)H NMR Spectroscopy","Vermathen M, Kämpfer T, Nuoffer JM, Vermathen P.","Pharmaceutics. 2023 Sep 15;15(9):2324. doi: 10.3390/pharmaceutics15092324.","Vermathen M","Pharmaceutics","2023","2023/09/28","PMC10537485","","10.3390/pharmaceutics15092324"
"37745161","Multi-omics Analyses of Non-GM Tomato Scion Engrafted on GM Rootstocks","Ogawa T, Kato K, Asuka H, Sugioka Y, Mochizuki T, Nishiuchi T, Miyahara T, Kodama H, Ohta D.","Food Saf (Tokyo). 2023 Sep 6;11(3):41-53. doi: 10.14252/foodsafetyfscj.D-23-00005. eCollection 2023 Sep.","Ogawa T","Food Saf (Tokyo)","2023","2023/09/25","PMC10514396","","10.14252/foodsafetyfscj.D-23-00005"
"37736753","Serum metabolomics profiling by proton nuclear magnetic resonance spectrometry of the response to single oral macronutrient challenges in women with polycystic ovary syndrome (PCOS) compared with male and female controls","Escobar-Morreale HF, Martínez-García MÁ, Insenser M, Cañellas N, Correig X, Luque-Ramírez M.","Biol Sex Differ. 2023 Sep 22;14(1):62. doi: 10.1186/s13293-023-00547-2.","Escobar-Morreale HF","Biol Sex Differ","2023","2023/09/22","PMC10514968","","10.1186/s13293-023-00547-2"
"37719197","Integrative multi-omics and systems bioinformatics in translational neuroscience: A data mining perspective","O'Connor LM, O'Connor BA, Lim SB, Zeng J, Lo CH.","J Pharm Anal. 2023 Aug;13(8):836-850. doi: 10.1016/j.jpha.2023.06.011. Epub 2023 Jun 30.","O'Connor LM","J Pharm Anal","2023","2023/09/18","PMC10499660","","10.1016/j.jpha.2023.06.011"
"37686800","Untargeted Metabolomic Analysis of Lactation-Stage-Matched Human and Bovine Milk Samples at 2 Weeks Postnatal","Lemas DJ, Du X, Dado-Senn B, Xu K, Dobrowolski A, Magalhães M, Aristizabal-Henao JJ, Young BE, Francois M, Thompson LA, Parker LA, Neu J, Laporta J, Misra BB, Wane I, Samaan S, Garrett TJ.","Nutrients. 2023 Aug 29;15(17):3768. doi: 10.3390/nu15173768.","Lemas DJ","Nutrients","2023","2023/09/09","PMC10490210","","10.3390/nu15173768"
"37676384","Metabolic signatures of Arabidopsis thaliana abiotic stress responses elucidate patterns in stress priming, acclimation, and recovery","Xu Y, Freund DM, Hegeman AD, Cohen JD.","Stress Biol. 2022 Feb 15;2(1):11. doi: 10.1007/s44154-022-00034-5.","Xu Y","Stress Biol","2022","2023/09/07","PMC10441859","","10.1007/s44154-022-00034-5"
"37631314","Salbutamol Attenuates Diabetic Skeletal Muscle Atrophy by Reducing Oxidative Stress, Myostatin/GDF-8, and Pro-Inflammatory Cytokines in Rats","Kumar A, Prajapati P, Singh G, Kumar D, Mishra V, Kim SC, Raorane CJ, Raj V, Kushwaha S.","Pharmaceutics. 2023 Aug 8;15(8):2101. doi: 10.3390/pharmaceutics15082101.","Kumar A","Pharmaceutics","2023","2023/08/26","PMC10458056","","10.3390/pharmaceutics15082101"
