PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"29762782","MetaboAnalyst 4.0: towards more transparent and integrative metabolomics analysis","Chong J, Soufan O, Li C, Caraus I, Li S, Bourque G, Wishart DS, Xia J.","Nucleic Acids Res. 2018 Jul 2;46(W1):W486-W494. doi: 10.1093/nar/gky310.","Chong J","Nucleic Acids Res","2018","2018/05/16","PMC6030889","","10.1093/nar/gky310"
"37893714","The Impact of Photosynthetic Characteristics and Metabolomics on the Fatty Acid Biosynthesis in Tea Seeds","Jiang L, Liu S, Hu X, Li D, Chen L, Weng X, Zheng Z, Chen X, Zhuang J, Li X, Chen Z, Yuan M.","Foods. 2023 Oct 18;12(20):3821. doi: 10.3390/foods12203821.","Jiang L","Foods","2023","2023/10/28","PMC10606020","","10.3390/foods12203821"
"37891154","Coral endosymbiont growth is enhanced by metabolic interactions with bacteria","Matthews JL, Khalil A, Siboni N, Bougoure J, Guagliardo P, Kuzhiumparambil U, DeMaere M, Le Reun NM, Seymour JR, Suggett DJ, Raina JB.","Nat Commun. 2023 Oct 27;14(1):6864. doi: 10.1038/s41467-023-42663-y.","Matthews JL","Nat Commun","2023","2023/10/27","PMC10611727","","10.1038/s41467-023-42663-y"
"37888267","Metabolomics Analysis of Sporulation-Associated Metabolites of Metarhizium anisopliae Based on Gas Chromatography-Mass Spectrometry","Yang H, Tian L, Qiu H, Qin C, Ling S, Xu J.","J Fungi (Basel). 2023 Oct 13;9(10):1011. doi: 10.3390/jof9101011.","Yang H","J Fungi (Basel)","2023","2023/10/27","PMC10608027","","10.3390/jof9101011"
"37887419","Lipid and Amino Acid Pathway Metabolites Contribute to Cold Tolerance in Quercus wutaishanica","Li Q, Xu Y, Liu YQ, Qin L.","Metabolites. 2023 Oct 19;13(10):1094. doi: 10.3390/metabo13101094.","Li Q","Metabolites","2023","2023/10/27","PMC10608989","","10.3390/metabo13101094"
"37887383","Gas Chromatography-Mass Spectrometry Reveals Stage-Specific Metabolic Signatures of Ankylosing Spondylitis","Guo Y, Wei S, Yin M, Cao D, Li Y, Wen C, Zhou J.","Metabolites. 2023 Oct 7;13(10):1058. doi: 10.3390/metabo13101058.","Guo Y","Metabolites","2023","2023/10/27","PMC10608640","","10.3390/metabo13101058"
"37887380","Two-Stage Deep-Learning Classifier for Diagnostics of Lung Cancer Using Metabolites","Choudhary A, Yu J, Kouznetsova VL, Kesari S, Tsigelny IF.","Metabolites. 2023 Oct 7;13(10):1055. doi: 10.3390/metabo13101055.","Choudhary A","Metabolites","2023","2023/10/27","PMC10609149","","10.3390/metabo13101055"
"37887327","Integrated Meta-Omics Analysis Unveils the Pathways Modulating Tumorigenesis and Proliferation in High-Grade Meningioma","Biswas D, Halder A, Barpanda A, Ghosh S, Chauhan A, Bhat L, Epari S, Shetty P, Moiyadi A, Ball GR, Srivastava S.","Cells. 2023 Oct 18;12(20):2483. doi: 10.3390/cells12202483.","Biswas D","Cells","2023","2023/10/27","PMC10604908","","10.3390/cells12202483"
"37872498","Metabolic profiles of peanut (Arachis hypogaea L.) in response to Puccinia arachidis fungal infection","Rathod V, Rathod K, Tomar RS, Tatamiya R, Hamid R, Jacob F, Munshi NS.","BMC Genomics. 2023 Oct 23;24(1):630. doi: 10.1186/s12864-023-09725-3.","Rathod V","BMC Genomics","2023","2023/10/23","PMC10591357","","10.1186/s12864-023-09725-3"
"37870666","Untargeted metabolomics analysis of four date palm (Phoenix dactylifera L.) cultivars using MS and NMR","Alsuhaymi S, Singh U, Al-Younis I, Kharbatia NM, Haneef A, Chandra K, Dhahri M, Assiri MA, Emwas AH, Jaremko M.","Nat Prod Bioprospect. 2023 Oct 23;13(1):44. doi: 10.1007/s13659-023-00406-y.","Alsuhaymi S","Nat Prod Bioprospect","2023","2023/10/23","PMC10593664","","10.1007/s13659-023-00406-y"
"37853347","Asterics: a simple tool for the ExploRation and Integration of omiCS data","Maigné É, Noirot C, Henry J, Adu Kesewaah Y, Badin L, Déjean S, Guilmineau C, Krebs A, Mathevet F, Segalini A, Thomassin L, Colongo D, Gaspin C, Liaubet L, Vialaneix N.","BMC Bioinformatics. 2023 Oct 18;24(1):391. doi: 10.1186/s12859-023-05504-9.","Maigné É","BMC Bioinformatics","2023","2023/10/18","PMC10583411","","10.1186/s12859-023-05504-9"
"37843808","Advances in Microbial NMR Metabolomics","Borges RM, Gouveia GJ, das Chagas FO.","Adv Exp Med Biol. 2023;1439:123-147. doi: 10.1007/978-3-031-41741-2_6.","Borges RM","Adv Exp Med Biol","2023","2023/10/16","","","10.1007/978-3-031-41741-2_6"
"37819925","Time course of western diet (WD) induced nonalcoholic steatohepatitis (NASH) in female and male Ldlr-/- mice","Spooner MH, Garcia-Jaramillo M, Apperson KD, Löhr CV, Jump DB.","PLoS One. 2023 Oct 11;18(10):e0292432. doi: 10.1371/journal.pone.0292432. eCollection 2023.","Spooner MH","PLoS One","2023","2023/10/11","PMC10566735","","10.1371/journal.pone.0292432"
"37799490","Use of random integration to test equality of high dimensional covariance matrices","Jiang Y, Wen C, Jiang Y, Wang X, Zhang H.","Stat Sin. 2023 Oct;33(4):2359-2380. doi: 10.5705/ss.202020.0486.","Jiang Y","Stat Sin","2023","2023/10/06","PMC10550010","NIHMS1774677","10.5705/ss.202020.0486"
"37796494","Using Multidimensional Separations to Distinguish Isomeric Amino Acid-Bile Acid Conjugates and Assess Their Presence and Perturbations in Model Systems","Stewart AK, Foley MH, Dougherty MK, McGill SK, Gulati AS, Gentry EC, Hagey LR, Dorrestein PC, Theriot CM, Dodds JN, Baker ES.","Anal Chem. 2023 Oct 17;95(41):15357-15366. doi: 10.1021/acs.analchem.3c03057. Epub 2023 Oct 5.","Stewart AK","Anal Chem","2023","2023/10/05","PMC10613829","NIHMS1937765","10.1021/acs.analchem.3c03057"
"37765448","Arabidopsis TGA256 Transcription Factors Suppress Salicylic-Acid-Induced Sucrose Starvation","Bergman ME, Evans SE, Kuai X, Franks AE, Despres C, Phillips MA.","Plants (Basel). 2023 Sep 16;12(18):3284. doi: 10.3390/plants12183284.","Bergman ME","Plants (Basel)","2023","2023/09/28","PMC10534317","","10.3390/plants12183284"
"37744404","Leishmania mexicana centrin knockout parasites promote M1-polarizing metabolic changes","Volpedo G, Pacheco-Fernandez T, Oljuskin T, Markle HL, Azodi N, Hamano S, Matlashewski G, Gannavaram S, Nakhasi HL, Satoskar AR.","iScience. 2023 Aug 29;26(9):107594. doi: 10.1016/j.isci.2023.107594. eCollection 2023 Sep 15.","Volpedo G","iScience","2023","2023/09/25","PMC10517399","","10.1016/j.isci.2023.107594"
