PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"27010336","MetaboLights: An Open-Access Database Repository for Metabolomics Data","Kale NS, Haug K, Conesa P, Jayseelan K, Moreno P, Rocca-Serra P, Nainala VC, Spicer RA, Williams M, Li X, Salek RM, Griffin JL, Steinbeck C.","Curr Protoc Bioinformatics. 2016 Mar 24;53:14.13.1-14.13.18. doi: 10.1002/0471250953.bi1413s53.","Kale NS","Curr Protoc Bioinformatics","2016","2016/03/25","","","10.1002/0471250953.bi1413s53"
"37175910","A Metabolomics and Big Data Approach to Cannabis Authenticity (Authentomics)","Jadhav PD, Shim YY, Paek OJ, Jeon JT, Park HJ, Park I, Park ES, Kim YJ, Reaney MJT.","Int J Mol Sci. 2023 May 3;24(9):8202. doi: 10.3390/ijms24098202.","Jadhav PD","Int J Mol Sci","2023","2023/05/13","PMC10179091","","10.3390/ijms24098202"
"36514939","Shifting-corrected regularized regression for 1H NMR metabolomics identification and quantification","Vu T, Xu Y, Qiu Y, Powers R.","Biostatistics. 2022 Dec 12;24(1):140-160. doi: 10.1093/biostatistics/kxac015.","Vu T","Biostatistics","2022","2022/12/14","PMC9748598","","10.1093/biostatistics/kxac015"
"36479497","Validating methods for testing natural molecules on molecular pathways of interest in silico and in vitro","Dhuli K, Bonetti G, Anpilogov K, Herbst KL, Connelly ST, Bellinato F, Gisondi P, Bertelli M.","J Prev Med Hyg. 2022 Oct 17;63(2 Suppl 3):E279-E288. doi: 10.15167/2421-4248/jpmh2022.63.2S3.2770. eCollection 2022 Jun.","Dhuli K","J Prev Med Hyg","2022","2022/12/08","PMC9710400","","10.15167/2421-4248/jpmh2022.63.2S3.2770"
"36322731","Combination of common mtDNA variants results in mitochondrial dysfunction and a connective tissue dysregulation","Schaefer PM, Scherer Alves L, Lvova M, Huang J, Rathi K, Janssen K, Butic A, Yardeni T, Morrow R, Lott M, Murdock D, Song A, Keller K, Garcia BA, Francomano CA, Wallace DC.","Proc Natl Acad Sci U S A. 2022 Nov 8;119(45):e2212417119. doi: 10.1073/pnas.2212417119. Epub 2022 Nov 2.","Schaefer PM","Proc Natl Acad Sci U S A","2022","2022/11/02","PMC9659340","","10.1073/pnas.2212417119"
"36255714","Association of Plasma Metabolites and Lipoproteins with Rh and ABO Blood Systems in Healthy Subjects","Di Cesare F, Tenori L, Luchinat C, Saccenti E.","J Proteome Res. 2022 Nov 4;21(11):2655-2663. doi: 10.1021/acs.jproteome.2c00375. Epub 2022 Oct 18.","Di Cesare F","J Proteome Res","2022","2022/10/18","PMC9639206","","10.1021/acs.jproteome.2c00375"
"35877764","DES-Amyloidoses ""Amyloidoses through the looking-glass"": A knowledgebase developed for exploring and linking information related to human amyloid-related diseases","Bajic VP, Salhi A, Lakota K, Radovanovic A, Razali R, Zivkovic L, Spremo-Potparevic B, Uludag M, Tifratene F, Motwalli O, Marchand B, Bajic VB, Gojobori T, Isenovic ER, Essack M.","PLoS One. 2022 Jul 25;17(7):e0271737. doi: 10.1371/journal.pone.0271737. eCollection 2022.","Bajic VP","PLoS One","2022","2022/07/25","PMC9312389","","10.1371/journal.pone.0271737"
"35713871","Integration of Transcriptomics Data and Metabolomic Data Using Biomedical Literature Mining and Pathway Analysis","Prabahar A.","Methods Mol Biol. 2022;2496:301-316. doi: 10.1007/978-1-0716-2305-3_16.","Prabahar A","Methods Mol Biol","2022","2022/06/17","","","10.1007/978-1-0716-2305-3_16"
"35186042","Integrative OMICS Data-Driven Procedure Using a Derivatized Meta-Analysis Approach","Cervantes-Gracia K, Chahwan R, Husi H.","Front Genet. 2022 Feb 4;13:828786. doi: 10.3389/fgene.2022.828786. eCollection 2022.","Cervantes-Gracia K","Front Genet","2022","2022/02/21","PMC8855827","","10.3389/fgene.2022.828786"
"34995461","Molecular Probes, Chemosensors, and Nanosensors for Optical Detection of Biorelevant Molecules and Ions in Aqueous Media and Biofluids","Krämer J, Kang R, Grimm LM, De Cola L, Picchetti P, Biedermann F.","Chem Rev. 2022 Feb 9;122(3):3459-3636. doi: 10.1021/acs.chemrev.1c00746. Epub 2022 Jan 7.","Krämer J","Chem Rev","2022","2022/01/07","PMC8832467","","10.1021/acs.chemrev.1c00746"
"34677407","Toxicometabolomics: Small Molecules to Answer Big Toxicological Questions","Araújo AM, Carvalho F, Guedes de Pinho P, Carvalho M.","Metabolites. 2021 Oct 9;11(10):692. doi: 10.3390/metabo11100692.","Araújo AM","Metabolites","2021","2021/10/22","PMC8539642","","10.3390/metabo11100692"
"34539712","Data Management and Modeling in Plant Biology","Krantz M, Zimmer D, Adler SO, Kitashova A, Klipp E, Mühlhaus T, Nägele T.","Front Plant Sci. 2021 Sep 3;12:717958. doi: 10.3389/fpls.2021.717958. eCollection 2021.","Krantz M","Front Plant Sci","2021","2021/09/20","PMC8446634","","10.3389/fpls.2021.717958"
"34427522","Serine Metabolism Tunes Immune Responses To Promote Oreochromis niloticus Survival upon Edwardsiella tarda Infection","Yang DX, Yang MJ, Yin Y, Kou TS, Peng LT, Chen ZG, Zheng J, Peng B.","mSystems. 2021 Aug 31;6(4):e0042621. doi: 10.1128/mSystems.00426-21. Epub 2021 Aug 24.","Yang DX","mSystems","2021","2021/08/24","PMC8407201","","10.1128/mSystems.00426-21"
"34357339","Metabolomics-Guided Elucidation of Plant Abiotic Stress Responses in the 4IR Era: An Overview","Tinte MM, Chele KH, van der Hooft JJJ, Tugizimana F.","Metabolites. 2021 Jul 8;11(7):445. doi: 10.3390/metabo11070445.","Tinte MM","Metabolites","2021","2021/08/06","PMC8305945","","10.3390/metabo11070445"
"34168145","Bioactivity descriptors for uncharacterized chemical compounds","Bertoni M, Duran-Frigola M, Badia-I-Mompel P, Pauls E, Orozco-Ruiz M, Guitart-Pla O, Alcalde V, Diaz VM, Berenguer-Llergo A, Brun-Heath I, Villegas N, de Herreros AG, Aloy P.","Nat Commun. 2021 Jun 24;12(1):3932. doi: 10.1038/s41467-021-24150-4.","Bertoni M","Nat Commun","2021","2021/06/25","PMC8225676","","10.1038/s41467-021-24150-4"
"34056560","Spatial Metabolomics and Imaging Mass Spectrometry in the Age of Artificial Intelligence","Alexandrov T.","Annu Rev Biomed Data Sci. 2020 Jul;3:61-87. doi: 10.1146/annurev-biodatasci-011420-031537. Epub 2020 Apr 13.","Alexandrov T","Annu Rev Biomed Data Sci","2020","2021/05/31","PMC7610844","EMS124571","10.1146/annurev-biodatasci-011420-031537"
"33644024","Recent Advanced Technologies for the Characterization of Xenobiotic-Degrading Microorganisms and Microbial Communities","Mishra S, Lin Z, Pang S, Zhang W, Bhatt P, Chen S.","Front Bioeng Biotechnol. 2021 Feb 10;9:632059. doi: 10.3389/fbioe.2021.632059. eCollection 2021.","Mishra S","Front Bioeng Biotechnol","2021","2021/03/01","PMC7902726","","10.3389/fbioe.2021.632059"
"33435351","Comprehensive Meta-Analysis of COVID-19 Global Metabolomics Datasets","Pang Z, Zhou G, Chong J, Xia J.","Metabolites. 2021 Jan 9;11(1):44. doi: 10.3390/metabo11010044.","Pang Z","Metabolites","2021","2021/01/13","PMC7827862","","10.3390/metabo11010044"
"33430231","Volumetric Absorptive Microsampling of Blood for Untargeted Lipidomics","Marasca C, Arana MEB, Protti M, Cavalli A, Mercolini L, Armirotti A.","Molecules. 2021 Jan 7;26(2):262. doi: 10.3390/molecules26020262.","Marasca C","Molecules","2021","2021/01/12","PMC7825730","","10.3390/molecules26020262"
"33317022","Systematic Review of Multi-Omics Approaches to Investigate Toxicological Effects in Macrophages","Karkossa I, Raps S, von Bergen M, Schubert K.","Int J Mol Sci. 2020 Dec 9;21(24):9371. doi: 10.3390/ijms21249371.","Karkossa I","Int J Mol Sci","2020","2020/12/15","PMC7764599","","10.3390/ijms21249371"
"33274633","Differential Network Analysis Reveals Molecular Determinants Associated with Blood Pressure and Heart Rate in Healthy Subjects","Vignoli A, Tenori L, Luchinat C, Saccenti E.","J Proteome Res. 2021 Jan 1;20(1):1040-1051. doi: 10.1021/acs.jproteome.0c00882. Epub 2020 Dec 4.","Vignoli A","J Proteome Res","2021","2020/12/04","PMC7786375","","10.1021/acs.jproteome.0c00882"
"33193163","The Impacts of Sortase A and the 4'-Phosphopantetheinyl Transferase Homolog Sfp on Streptococcus mutans Extracellular Membrane Vesicle Biogenesis","Morales-Aparicio JC, Lara Vasquez P, Mishra S, Barrán-Berdón AL, Kamat M, Basso KB, Wen ZT, Brady LJ.","Front Microbiol. 2020 Oct 26;11:570219. doi: 10.3389/fmicb.2020.570219. eCollection 2020.","Morales-Aparicio JC","Front Microbiol","2020","2020/11/16","PMC7649765","","10.3389/fmicb.2020.570219"
"32878155","Food Phenotyping: Recording and Processing of Non-Targeted Liquid Chromatography Mass Spectrometry Data for Verifying Food Authenticity","Creydt M, Fischer M.","Molecules. 2020 Aug 31;25(17):3972. doi: 10.3390/molecules25173972.","Creydt M","Molecules","2020","2020/09/04","PMC7504784","","10.3390/molecules25173972"
"32751630","Proteomics and Metabolomics for Cystic Fibrosis Research","Liessi N, Pedemonte N, Armirotti A, Braccia C.","Int J Mol Sci. 2020 Jul 30;21(15):5439. doi: 10.3390/ijms21155439.","Liessi N","Int J Mol Sci","2020","2020/08/06","PMC7432297","","10.3390/ijms21155439"
"32673287","Distinctive lipid signatures of bronchial epithelial cells associated with cystic fibrosis drugs, including Trikafta","Liessi N, Pesce E, Braccia C, Bertozzi SM, Giraudo A, Bandiera T, Pedemonte N, Armirotti A.","JCI Insight. 2020 Aug 20;5(16):e138722. doi: 10.1172/jci.insight.138722.","Liessi N","JCI Insight","2020","2020/07/17","PMC7455125","","10.1172/jci.insight.138722"
