PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"25404128","Beyond protein expression, MOPED goes multi-omics","Montague E, Janko I, Stanberry L, Lee E, Choiniere J, Anderson N, Stewart E, Broomall W, Higdon R, Kolker N, Kolker E.","Nucleic Acids Res. 2015 Jan;43(Database issue):D1145-51. doi: 10.1093/nar/gku1175. Epub 2014 Nov 17.","Montague E","Nucleic Acids Res","2015","2014/11/19","PMC4383969","","10.1093/nar/gku1175"
"37277356","'Multi-omics' data integration: applications in probiotics studies","Kwoji ID, Aiyegoro OA, Okpeku M, Adeleke MA.","NPJ Sci Food. 2023 Jun 5;7(1):25. doi: 10.1038/s41538-023-00199-x.","Kwoji ID","NPJ Sci Food","2023","2023/06/05","PMC10241933","","10.1038/s41538-023-00199-x"
"36529941","Proteomic repository data submission, dissemination, and reuse: key messages","Perez-Riverol Y.","Expert Rev Proteomics. 2022 Jul-Dec;19(7-12):297-310. doi: 10.1080/14789450.2022.2160324. Epub 2022 Dec 26.","Perez-Riverol Y","Expert Rev Proteomics","2022","2022/12/19","PMC7614296","EMS159053","10.1080/14789450.2022.2160324"
"32872562","Proteomics and Metabolomics Approaches towards a Functional Insight onto AUTISM Spectrum Disorders: Phenotype Stratification and Biomarker Discovery","Ristori MV, Mortera SL, Marzano V, Guerrera S, Vernocchi P, Ianiro G, Gardini S, Torre G, Valeri G, Vicari S, Gasbarrini A, Putignani L.","Int J Mol Sci. 2020 Aug 30;21(17):6274. doi: 10.3390/ijms21176274.","Ristori MV","Int J Mol Sci","2020","2020/09/03","PMC7504551","","10.3390/ijms21176274"
"28221134","Human Nup98 regulates the localization and activity of DExH/D-box helicase DHX9","Capitanio JS, Montpetit B, Wozniak RW.","Elife. 2017 Feb 21;6:e18825. doi: 10.7554/eLife.18825.","Capitanio JS","Elife","2017","2017/02/22","PMC5338925","","10.7554/eLife.18825"
"27048349","Genic insights from integrated human proteomics in GeneCards","Fishilevich S, Zimmerman S, Kohn A, Iny Stein T, Olender T, Kolker E, Safran M, Lancet D.","Database (Oxford). 2016 Apr 5;2016:baw030. doi: 10.1093/database/baw030. Print 2016.","Fishilevich S","Database (Oxford)","2016","2016/04/07","PMC4820835","","10.1093/database/baw030"
"26909022","Proteomics Research in Schizophrenia","Davalieva K, Maleva Kostovska I, Dwork AJ.","Front Cell Neurosci. 2016 Feb 16;10:18. doi: 10.3389/fncel.2016.00018. eCollection 2016.","Davalieva K","Front Cell Neurosci","2016","2016/02/25","PMC4754401","","10.3389/fncel.2016.00018"
"26527722","2016 update of the PRIDE database and its related tools","Vizcaíno JA, Csordas A, del-Toro N, Dianes JA, Griss J, Lavidas I, Mayer G, Perez-Riverol Y, Reisinger F, Ternent T, Xu QW, Wang R, Hermjakob H.","Nucleic Acids Res. 2016 Jan 4;44(D1):D447-56. doi: 10.1093/nar/gkv1145. Epub 2015 Nov 2.","Vizcaíno JA","Nucleic Acids Res","2016","2015/11/04","PMC4702828","","10.1093/nar/gkv1145"
"26449181","Exploring the potential of public proteomics data","Vaudel M, Verheggen K, Csordas A, Raeder H, Berven FS, Martens L, Vizcaíno JA, Barsnes H.","Proteomics. 2016 Jan;16(2):214-25. doi: 10.1002/pmic.201500295. Epub 2015 Dec 15.","Vaudel M","Proteomics","2016","2015/10/10","PMC4738454","","10.1002/pmic.201500295"
"25831060","The promise of multi-omics and clinical data integration to identify and target personalized healthcare approaches in autism spectrum disorders","Higdon R, Earl RK, Stanberry L, Hudac CM, Montague E, Stewart E, Janko I, Choiniere J, Broomall W, Kolker N, Bernier RA, Kolker E.","OMICS. 2015 Apr;19(4):197-208. doi: 10.1089/omi.2015.0020.","Higdon R","OMICS","2015","2015/04/02","PMC4389910","","10.1089/omi.2015.0020"
"25712261","Biological databases for human research","Zou D, Ma L, Yu J, Zhang Z.","Genomics Proteomics Bioinformatics. 2015 Feb;13(1):55-63. doi: 10.1016/j.gpb.2015.01.006. Epub 2015 Feb 21.","Zou D","Genomics Proteomics Bioinformatics","2015","2015/02/26","PMC4411498","","10.1016/j.gpb.2015.01.006"
