PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"34019646","OmicsAnalyst: a comprehensive web-based platform for visual analytics of multi-omics data","Zhou G, Ewald J, Xia J.","Nucleic Acids Res. 2021 Jul 2;49(W1):W476-W482. doi: 10.1093/nar/gkab394.","Zhou G","Nucleic Acids Res","2021","2021/05/21","PMC8262745","","10.1093/nar/gkab394"
"37760973","Unlocking the Molecular Secrets of Antifolate Drug Resistance: A Multi-Omics Investigation of the NCI-60 Cell Line Panel","Rushing BR.","Biomedicines. 2023 Sep 14;11(9):2532. doi: 10.3390/biomedicines11092532.","Rushing BR","Biomedicines","2023","2023/09/28","PMC10526174","","10.3390/biomedicines11092532"
"37686047","Multi-Omics Analysis of NCI-60 Cell Line Data Reveals Novel Metabolic Processes Linked with Resistance to Alkylating Anti-Cancer Agents","Rushing BR.","Int J Mol Sci. 2023 Aug 26;24(17):13242. doi: 10.3390/ijms241713242.","Rushing BR","Int J Mol Sci","2023","2023/09/09","PMC10487847","","10.3390/ijms241713242"
"37533767","Applications of multi-omics analysis in human diseases","Chen C, Wang J, Pan D, Wang X, Xu Y, Yan J, Wang L, Yang X, Yang M, Liu GP.","MedComm (2020). 2023 Jul 31;4(4):e315. doi: 10.1002/mco2.315. eCollection 2023 Aug.","Chen C","MedComm (2020)","2023","2023/08/03","PMC10390758","","10.1002/mco2.315"
"37277356","'Multi-omics' data integration: applications in probiotics studies","Kwoji ID, Aiyegoro OA, Okpeku M, Adeleke MA.","NPJ Sci Food. 2023 Jun 5;7(1):25. doi: 10.1038/s41538-023-00199-x.","Kwoji ID","NPJ Sci Food","2023","2023/06/05","PMC10241933","","10.1038/s41538-023-00199-x"
"36720931","Integrated multiomics analysis to infer COVID-19 biological insights","Sameh M, Khalaf HM, Anwar AM, Osama A, Ahmed EA, Mahgoub S, Ezzeldin S, Tanios A, Alfishawy M, Said AF, Mohamed MS, Sayed AA, Magdeldin S.","Sci Rep. 2023 Jan 31;13(1):1802. doi: 10.1038/s41598-023-28816-5.","Sameh M","Sci Rep","2023","2023/01/31","PMC9888750","","10.1038/s41598-023-28816-5"
"36675949","In Vitro Fermentation of Pleurotus eryngii Mushrooms by Human Fecal Microbiota: Metataxonomic Analysis and Metabolomic Profiling of Fermentation Products","Christodoulou P, Vlassopoulou M, Zervou M, Xanthakos E, Moulos P, Koutrotsios G, Zervakis GI, Kerezoudi EN, Mitsou EK, Saxami G, Kyriacou A, Pletsa V, Georgiadis P.","J Fungi (Basel). 2023 Jan 16;9(1):128. doi: 10.3390/jof9010128.","Christodoulou P","J Fungi (Basel)","2023","2023/01/21","PMC9865116","","10.3390/jof9010128"
"36617463","The hitchhikers' guide to RNA sequencing and functional analysis","Chen JW, Shrestha L, Green G, Leier A, Marquez-Lago TT.","Brief Bioinform. 2023 Jan 19;24(1):bbac529. doi: 10.1093/bib/bbac529.","Chen JW","Brief Bioinform","2023","2023/01/08","PMC9851315","","10.1093/bib/bbac529"
"36611894","Inferencing Bulk Tumor and Single-Cell Multi-Omics Regulatory Networks for Discovery of Biomarkers and Therapeutic Targets","Ye Q, Guo NL.","Cells. 2022 Dec 26;12(1):101. doi: 10.3390/cells12010101.","Ye Q","Cells","2022","2023/01/08","PMC9818242","","10.3390/cells12010101"
"36519168","Advances in experimental and computational methodologies for the study of microbial-surface interactions at different omics levels","González-Plaza JJ, Furlan C, Rijavec T, Lapanje A, Barros R, Tamayo-Ramos JA, Suarez-Diez M.","Front Microbiol. 2022 Nov 28;13:1006946. doi: 10.3389/fmicb.2022.1006946. eCollection 2022.","González-Plaza JJ","Front Microbiol","2022","2022/12/15","PMC9744117","","10.3389/fmicb.2022.1006946"
"36438626","Integration of multi-omics technologies for crop improvement: Status and prospects","Zhang R, Zhang C, Yu C, Dong J, Hu J.","Front Bioinform. 2022 Oct 19;2:1027457. doi: 10.3389/fbinf.2022.1027457. eCollection 2022.","Zhang R","Front Bioinform","2022","2022/11/28","PMC9689701","","10.3389/fbinf.2022.1027457"
"36416120","From single- to multi-omics: future research trends in medicinal plants","Yang L, Yang Y, Huang L, Cui X, Liu Y.","Brief Bioinform. 2023 Jan 19;24(1):bbac485. doi: 10.1093/bib/bbac485.","Yang L","Brief Bioinform","2023","2022/11/23","PMC9851310","","10.1093/bib/bbac485"
"36365383","Molecular Mechanisms Underlying Flax (Linum usitatissimum L.) Tolerance to Cadmium: A Case Study of Proteome and Metabolome of Four Different Flax Genotypes","Berková V, Berka M, Griga M, Kopecká R, Prokopová M, Luklová M, Horáček J, Smýkalová I, Čičmanec P, Novák J, Brzobohatý B, Černý M.","Plants (Basel). 2022 Oct 31;11(21):2931. doi: 10.3390/plants11212931.","Berková V","Plants (Basel)","2022","2022/11/11","PMC9655427","","10.3390/plants11212931"
"36325556","Defense mechanisms promoting tolerance to aggressive Phytophthora species in hybrid poplar","Cerny M, Berka M, Dvořák M, Milenković I, Saiz-Fernández I, Brzobohatý B, Ďurkovič J.","Front Plant Sci. 2022 Oct 13;13:1018272. doi: 10.3389/fpls.2022.1018272. eCollection 2022.","Cerny M","Front Plant Sci","2022","2022/11/03","PMC9621118","","10.3389/fpls.2022.1018272"
"35715522","Using MetaboAnalyst 5.0 for LC-HRMS spectra processing, multi-omics integration and covariate adjustment of global metabolomics data","Pang Z, Zhou G, Ewald J, Chang L, Hacariz O, Basu N, Xia J.","Nat Protoc. 2022 Aug;17(8):1735-1761. doi: 10.1038/s41596-022-00710-w. Epub 2022 Jun 17.","Pang Z","Nat Protoc","2022","2022/06/17","","","10.1038/s41596-022-00710-w"
"35403668","Omics-based ecosurveillance for the assessment of ecosystem function, health, and resilience","Beale DJ, Jones OAH, Bose U, Broadbent JA, Walsh TK, van de Kamp J, Bissett A.","Emerg Top Life Sci. 2022 Apr 15;6(2):185-199. doi: 10.1042/ETLS20210261.","Beale DJ","Emerg Top Life Sci","2022","2022/04/11","PMC9023019","","10.1042/ETLS20210261"
"34883510","Interpretation of network-based integration from multi-omics longitudinal data","Bodein A, Scott-Boyer MP, Perin O, Lê Cao KA, Droit A.","Nucleic Acids Res. 2022 Mar 21;50(5):e27. doi: 10.1093/nar/gkab1200.","Bodein A","Nucleic Acids Res","2022","2021/12/09","PMC8934642","","10.1093/nar/gkab1200"
