PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"35639733","OmicsNet 2.0: a web-based platform for multi-omics integration and network visual analytics","Zhou G, Pang Z, Lu Y, Ewald J, Xia J.","Nucleic Acids Res. 2022 Jul 5;50(W1):W527-W533. doi: 10.1093/nar/gkac376.","Zhou G","Nucleic Acids Res","2022","2022/05/31","PMC9252810","","10.1093/nar/gkac376"
"37892244","Untargeted Lipidomic Approach for Studying Different Nervous System Tissues of the Murine Model of Krabbe Disease","Alabed HBR, Del Grosso A, Bellani V, Urbanelli L, Carpi S, De Sarlo M, Bertocci L, Colagiorgio L, Buratta S, Scaccini L, Frongia Mancini D, Tonazzini I, Cecchini M, Emiliani C, Pellegrino RM.","Biomolecules. 2023 Oct 23;13(10):1562. doi: 10.3390/biom13101562.","Alabed HBR","Biomolecules","2023","2023/10/28","PMC10605133","","10.3390/biom13101562"
"37762170","Investigation into Molecular Brain Aging in Senescence-Accelerated Mouse (SAM) Model Employing Whole Transcriptomic Analysis in Search of Potential Molecular Targets for Therapeutic Interventions","Fujiwara M, Ferdousi F, Isoda H.","Int J Mol Sci. 2023 Sep 8;24(18):13867. doi: 10.3390/ijms241813867.","Fujiwara M","Int J Mol Sci","2023","2023/09/28","PMC10530366","","10.3390/ijms241813867"
"37760973","Unlocking the Molecular Secrets of Antifolate Drug Resistance: A Multi-Omics Investigation of the NCI-60 Cell Line Panel","Rushing BR.","Biomedicines. 2023 Sep 14;11(9):2532. doi: 10.3390/biomedicines11092532.","Rushing BR","Biomedicines","2023","2023/09/28","PMC10526174","","10.3390/biomedicines11092532"
"37686047","Multi-Omics Analysis of NCI-60 Cell Line Data Reveals Novel Metabolic Processes Linked with Resistance to Alkylating Anti-Cancer Agents","Rushing BR.","Int J Mol Sci. 2023 Aug 26;24(17):13242. doi: 10.3390/ijms241713242.","Rushing BR","Int J Mol Sci","2023","2023/09/09","PMC10487847","","10.3390/ijms241713242"
"37598796","Prenatal exposures to endocrine disrupting chemicals: The role of multi-omics in understanding toxicity","Rabotnick MH, Ehlinger J, Haidari A, Goodrich JM.","Mol Cell Endocrinol. 2023 Dec 1;578:112046. doi: 10.1016/j.mce.2023.112046. Epub 2023 Aug 19.","Rabotnick MH","Mol Cell Endocrinol","2023","2023/08/20","PMC10592024","NIHMS1927320","10.1016/j.mce.2023.112046"
"37576491","Propranolol reduces the accumulation of cytotoxic aggregates in C9orf72-ALS/FTD in vitro models","Seidel M, Rajkumar S, Steffke C, Noeth V, Agarwal S, Roger K, Lipecka J, Ludolph A, Guerrera CI, Boeckers T, Catanese A.","Curr Res Neurobiol. 2023 Jul 30;5:100105. doi: 10.1016/j.crneur.2023.100105. eCollection 2023.","Seidel M","Curr Res Neurobiol","2023","2023/08/14","PMC10412779","","10.1016/j.crneur.2023.100105"
"37566077","Integration of Meta-Multi-Omics Data Using Probabilistic Graphs and External Knowledge","Can H, Chanumolu SK, Nielsen BD, Alvarez S, Naldrett MJ, Ünlü G, Otu HH.","Cells. 2023 Aug 4;12(15):1998. doi: 10.3390/cells12151998.","Can H","Cells","2023","2023/08/11","PMC10417344","","10.3390/cells12151998"
"37533767","Applications of multi-omics analysis in human diseases","Chen C, Wang J, Pan D, Wang X, Xu Y, Yan J, Wang L, Yang X, Yang M, Liu GP.","MedComm (2020). 2023 Jul 31;4(4):e315. doi: 10.1002/mco2.315. eCollection 2023 Aug.","Chen C","MedComm (2020)","2023","2023/08/03","PMC10390758","","10.1002/mco2.315"
"37488208","Integrative proteomics highlight presynaptic alterations and c-Jun misactivation as convergent pathomechanisms in ALS","Aly A, Laszlo ZI, Rajkumar S, Demir T, Hindley N, Lamont DJ, Lehmann J, Seidel M, Sommer D, Franz-Wachtel M, Barletta F, Heumos S, Czemmel S, Kabashi E, Ludolph A, Boeckers TM, Henstridge CM, Catanese A.","Acta Neuropathol. 2023 Sep;146(3):451-475. doi: 10.1007/s00401-023-02611-y. Epub 2023 Jul 24.","Aly A","Acta Neuropathol","2023","2023/07/24","PMC10412488","","10.1007/s00401-023-02611-y"
"37452023","Lysosomal cystine export regulates mTORC1 signaling to guide kidney epithelial cell fate specialization","Berquez M, Chen Z, Festa BP, Krohn P, Keller SA, Parolo S, Korzinkin M, Gaponova A, Laczko E, Domenici E, Devuyst O, Luciani A.","Nat Commun. 2023 Jul 14;14(1):3994. doi: 10.1038/s41467-023-39261-3.","Berquez M","Nat Commun","2023","2023/07/14","PMC10349091","","10.1038/s41467-023-39261-3"
