PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"29878180","OmicsNet: a web-based tool for creation and visual analysis of biological networks in 3D space","Zhou G, Xia J.","Nucleic Acids Res. 2018 Jul 2;46(W1):W514-W522. doi: 10.1093/nar/gky510.","Zhou G","Nucleic Acids Res","2018","2018/06/08","PMC6030925","","10.1093/nar/gky510"
"37680478","Spatial lipidomics reveals biased phospholipid remodeling in acute Pseudomonas lung infection","Scott AJ, Ellis SR, Hofstaedter CE, Heeren RMA, Ernst RK.","iScience. 2023 Aug 21;26(9):107700. doi: 10.1016/j.isci.2023.107700. eCollection 2023 Sep 15.","Scott AJ","iScience","2023","2023/09/08","PMC10480615","","10.1016/j.isci.2023.107700"
"37598796","Prenatal exposures to endocrine disrupting chemicals: The role of multi-omics in understanding toxicity","Rabotnick MH, Ehlinger J, Haidari A, Goodrich JM.","Mol Cell Endocrinol. 2023 Dec 1;578:112046. doi: 10.1016/j.mce.2023.112046. Epub 2023 Aug 19.","Rabotnick MH","Mol Cell Endocrinol","2023","2023/08/20","PMC10592024","NIHMS1927320","10.1016/j.mce.2023.112046"
"37533767","Applications of multi-omics analysis in human diseases","Chen C, Wang J, Pan D, Wang X, Xu Y, Yan J, Wang L, Yang X, Yang M, Liu GP.","MedComm (2020). 2023 Jul 31;4(4):e315. doi: 10.1002/mco2.315. eCollection 2023 Aug.","Chen C","MedComm (2020)","2023","2023/08/03","PMC10390758","","10.1002/mco2.315"
"37468430","An epidemiological introduction to human metabolomic investigations","Joshi AD, Rahnavard A, Kachroo P, Mendez KM, Lawrence W, Julián-Serrano S, Hua X, Fuller H, Sinnott-Armstrong N, Tabung FK, Shutta KH, Raffield LM, Darst BF; COMETS Early Career Scientist Working Group.","Trends Endocrinol Metab. 2023 Sep;34(9):505-525. doi: 10.1016/j.tem.2023.06.006. Epub 2023 Jul 17.","Joshi AD","Trends Endocrinol Metab","2023","2023/07/19","PMC10527234","NIHMS1911437","10.1016/j.tem.2023.06.006"
"37345165","2-Hydroxypropyl-β-cyclodextrin (HPβCD) as a Potential Therapeutic Agent for Breast Cancer","Saha ST, Abdulla N, Zininga T, Shonhai A, Wadee R, Kaur M.","Cancers (Basel). 2023 May 18;15(10):2828. doi: 10.3390/cancers15102828.","Saha ST","Cancers (Basel)","2023","2023/06/22","PMC10216648","","10.3390/cancers15102828"
"37277356","'Multi-omics' data integration: applications in probiotics studies","Kwoji ID, Aiyegoro OA, Okpeku M, Adeleke MA.","NPJ Sci Food. 2023 Jun 5;7(1):25. doi: 10.1038/s41538-023-00199-x.","Kwoji ID","NPJ Sci Food","2023","2023/06/05","PMC10241933","","10.1038/s41538-023-00199-x"
"36860278","Multi-omics integration to identify the genetic expression and protein signature of dilated and ischemic cardiomyopathy","Portokallidou K, Dovrolis N, Ragia G, Atzemian N, Kolios G, Manolopoulos VG.","Front Cardiovasc Med. 2023 Feb 13;10:1115623. doi: 10.3389/fcvm.2023.1115623. eCollection 2023.","Portokallidou K","Front Cardiovasc Med","2023","2023/03/02","PMC9968758","","10.3389/fcvm.2023.1115623"
"36768850","From Classical to Modern Computational Approaches to Identify Key Genetic Regulatory Components in Plant Biology","Acién JM, Cañizares E, Candela H, González-Guzmán M, Arbona V.","Int J Mol Sci. 2023 Jan 28;24(3):2526. doi: 10.3390/ijms24032526.","Acién JM","Int J Mol Sci","2023","2023/02/11","PMC9916757","","10.3390/ijms24032526"
"36613980","Microbiome and Metabolomics in Liver Cancer: Scientific Technology","Ganesan R, Yoon SJ, Suk KT.","Int J Mol Sci. 2022 Dec 28;24(1):537. doi: 10.3390/ijms24010537.","Ganesan R","Int J Mol Sci","2022","2023/01/08","PMC9820585","","10.3390/ijms24010537"
"36557614","Systems Biology: New Insight into Antibiotic Resistance","Francine P.","Microorganisms. 2022 Nov 29;10(12):2362. doi: 10.3390/microorganisms10122362.","Francine P","Microorganisms","2022","2022/12/23","PMC9781975","","10.3390/microorganisms10122362"
"36460699","Evolutionarily conserved gene expression patterns for affective disorders revealed using cross-species brain transcriptomic analyses in humans, rats and zebrafish","Demin KA, Krotova NA, Ilyin NP, Galstyan DS, Kolesnikova TO, Strekalova T, de Abreu MS, Petersen EV, Zabegalov KN, Kalueff AV.","Sci Rep. 2022 Dec 2;12(1):20836. doi: 10.1038/s41598-022-22688-x.","Demin KA","Sci Rep","2022","2022/12/02","PMC9718822","","10.1038/s41598-022-22688-x"
"36322658","Single-cell multiomics identifies clinically relevant mesenchymal stem-like cells and key regulators for MPNST malignancy","Wu LMN, Zhang F, Rao R, Adam M, Pollard K, Szabo S, Liu X, Belcher KA, Luo Z, Ogurek S, Reilly C, Zhou X, Zhang L, Rubin J, Chang LS, Xin M, Yu J, Suva M, Pratilas CA, Potter S, Lu QR.","Sci Adv. 2022 Nov 4;8(44):eabo5442. doi: 10.1126/sciadv.abo5442. Epub 2022 Nov 2.","Wu LMN","Sci Adv","2022","2022/11/02","PMC9629745","","10.1126/sciadv.abo5442"
"36158572","Overview of methods for characterization and visualization of a protein-protein interaction network in a multi-omics integration context","Robin V, Bodein A, Scott-Boyer MP, Leclercq M, Périn O, Droit A.","Front Mol Biosci. 2022 Sep 8;9:962799. doi: 10.3389/fmolb.2022.962799. eCollection 2022.","Robin V","Front Mol Biosci","2022","2022/09/26","PMC9494275","","10.3389/fmolb.2022.962799"
"35835939","Multi-omics study identifies novel signatures of DNA/RNA, amino acid, peptide, and lipid metabolism by simulated diabetes on coronary endothelial cells","Moreno-Ulloa A, Delgado-De la Herrán HC, Álvarez-Delgado C, Mendoza-Porras O, Carballo-Castañeda RA, Donis-Maturano L, Villarreal F.","Sci Rep. 2022 Jul 14;12(1):12027. doi: 10.1038/s41598-022-16300-5.","Moreno-Ulloa A","Sci Rep","2022","2022/07/14","PMC9283518","","10.1038/s41598-022-16300-5"
"35725577","NETISCE: a network-based tool for cell fate reprogramming","Marazzi L, Shah M, Balakrishnan S, Patil A, Vera-Licona P.","NPJ Syst Biol Appl. 2022 Jun 20;8(1):21. doi: 10.1038/s41540-022-00231-y.","Marazzi L","NPJ Syst Biol Appl","2022","2022/06/20","PMC9209484","","10.1038/s41540-022-00231-y"
"35715522","Using MetaboAnalyst 5.0 for LC-HRMS spectra processing, multi-omics integration and covariate adjustment of global metabolomics data","Pang Z, Zhou G, Ewald J, Chang L, Hacariz O, Basu N, Xia J.","Nat Protoc. 2022 Aug;17(8):1735-1761. doi: 10.1038/s41596-022-00710-w. Epub 2022 Jun 17.","Pang Z","Nat Protoc","2022","2022/06/17","","","10.1038/s41596-022-00710-w"
"35448542","Guide to Metabolomics Analysis: A Bioinformatics Workflow","Chen Y, Li EM, Xu LY.","Metabolites. 2022 Apr 15;12(4):357. doi: 10.3390/metabo12040357.","Chen Y","Metabolites","2022","2022/04/21","PMC9032224","","10.3390/metabo12040357"
"35201514","Deep analysis of neuroblastoma core regulatory circuitries using online databases and integrated bioinformatics shows their pan-cancer roles as prognostic predictors","Jahangiri L, Pucci P, Ishola T, Pereira J, Cavanagh ML, Turner SD.","Discov Oncol. 2021 Nov 29;12(1):56. doi: 10.1007/s12672-021-00452-3.","Jahangiri L","Discov Oncol","2021","2022/02/24","PMC8777518","","10.1007/s12672-021-00452-3"
"34937578","DNA methylation mediates the association between breastfeeding and early-life growth trajectories","Briollais L, Rustand D, Allard C, Wu Y, Xu J, Rajan SG, Hivert MF, Doyon M, Bouchard L, McGowan PO, Matthews S, Lye S.","Clin Epigenetics. 2021 Dec 22;13(1):231. doi: 10.1186/s13148-021-01209-z.","Briollais L","Clin Epigenetics","2021","2021/12/23","PMC8697471","","10.1186/s13148-021-01209-z"
"34884559","Sparsely Connected Autoencoders: A Multi-Purpose Tool for Single Cell omics Analysis","Alessandri L, Ratto ML, Contaldo SG, Beccuti M, Cordero F, Arigoni M, Calogero RA.","Int J Mol Sci. 2021 Nov 25;22(23):12755. doi: 10.3390/ijms222312755.","Alessandri L","Int J Mol Sci","2021","2021/12/10","PMC8657975","","10.3390/ijms222312755"
"34883510","Interpretation of network-based integration from multi-omics longitudinal data","Bodein A, Scott-Boyer MP, Perin O, Lê Cao KA, Droit A.","Nucleic Acids Res. 2022 Mar 21;50(5):e27. doi: 10.1093/nar/gkab1200.","Bodein A","Nucleic Acids Res","2022","2021/12/09","PMC8934642","","10.1093/nar/gkab1200"
