PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"29800320","PaintOmics 3: a web resource for the pathway analysis and visualization of multi-omics data","Hernández-de-Diego R, Tarazona S, Martínez-Mira C, Balzano-Nogueira L, Furió-Tarí P, Pappas GJ Jr, Conesa A.","Nucleic Acids Res. 2018 Jul 2;46(W1):W503-W509. doi: 10.1093/nar/gky466.","Hernández-de-Diego R","Nucleic Acids Res","2018","2018/05/26","PMC6030972","","10.1093/nar/gky466"
"37789425","Recent advances in proteomics and metabolomics in plants","Yan S, Bhawal R, Yin Z, Thannhauser TW, Zhang S.","Mol Hortic. 2022 Jul 23;2(1):17. doi: 10.1186/s43897-022-00038-9.","Yan S","Mol Hortic","2022","2023/10/03","PMC10514990","","10.1186/s43897-022-00038-9"
"37533767","Applications of multi-omics analysis in human diseases","Chen C, Wang J, Pan D, Wang X, Xu Y, Yan J, Wang L, Yang X, Yang M, Liu GP.","MedComm (2020). 2023 Jul 31;4(4):e315. doi: 10.1002/mco2.315. eCollection 2023 Aug.","Chen C","MedComm (2020)","2023","2023/08/03","PMC10390758","","10.1002/mco2.315"
"37325195","Organoids","Zhao Z, Chen X, Dowbaj AM, Sljukic A, Bratlie K, Lin L, Fong ELS, Balachander GM, Chen Z, Soragni A, Huch M, Zeng YA, Wang Q, Yu H.","Nat Rev Methods Primers. 2022;2:94. doi: 10.1038/s43586-022-00174-y. Epub 2022 Dec 1.","Zhao Z","Nat Rev Methods Primers","2022","2023/06/16","PMC10270325","NIHMS1885619","10.1038/s43586-022-00174-y"
"37277356","'Multi-omics' data integration: applications in probiotics studies","Kwoji ID, Aiyegoro OA, Okpeku M, Adeleke MA.","NPJ Sci Food. 2023 Jun 5;7(1):25. doi: 10.1038/s41538-023-00199-x.","Kwoji ID","NPJ Sci Food","2023","2023/06/05","PMC10241933","","10.1038/s41538-023-00199-x"
"37000949","Executable Network Models of Integrated Multiomics Data","Palshikar MG, Min X, Crystal A, Meng J, Hilchey SP, Zand MS, Thakar J.","J Proteome Res. 2023 May 5;22(5):1546-1556. doi: 10.1021/acs.jproteome.2c00730. Epub 2023 Mar 31.","Palshikar MG","J Proteome Res","2023","2023/03/31","PMC10167691","","10.1021/acs.jproteome.2c00730"
"36854304","Multiomics reveals glutathione metabolism as a driver of bimodality during stem cell aging","Benjamin DI, Brett JO, Both P, Benjamin JS, Ishak HL, Kang J, Kim S, Chung M, Arjona M, Nutter CW, Tan JH, Krishnan AK, Dulay H, Louie SM, de Morree A, Nomura DK, Rando TA.","Cell Metab. 2023 Mar 7;35(3):472-486.e6. doi: 10.1016/j.cmet.2023.02.001. Epub 2023 Feb 27.","Benjamin DI","Cell Metab","2023","2023/02/28","PMC10015599","NIHMS1874452","10.1016/j.cmet.2023.02.001"
"36698763","OmicsTIDE: interactive exploration of trends in multi-omics data","Harbig TA, Fratte J, Krone M, Nieselt K.","Bioinform Adv. 2023 Jan 20;3(1):vbac093. doi: 10.1093/bioadv/vbac093. eCollection 2023.","Harbig TA","Bioinform Adv","2023","2023/01/26","PMC9869718","","10.1093/bioadv/vbac093"
"36685900","Functional impact of multi-omic interactions in breast cancer subtypes","Ochoa S, Hernández-Lemus E.","Front Genet. 2023 Jan 5;13:1078609. doi: 10.3389/fgene.2022.1078609. eCollection 2022.","Ochoa S","Front Genet","2023","2023/01/23","PMC9850112","","10.3389/fgene.2022.1078609"
"36617463","The hitchhikers' guide to RNA sequencing and functional analysis","Chen JW, Shrestha L, Green G, Leier A, Marquez-Lago TT.","Brief Bioinform. 2023 Jan 19;24(1):bbac529. doi: 10.1093/bib/bbac529.","Chen JW","Brief Bioinform","2023","2023/01/08","PMC9851315","","10.1093/bib/bbac529"
"36557614","Systems Biology: New Insight into Antibiotic Resistance","Francine P.","Microorganisms. 2022 Nov 29;10(12):2362. doi: 10.3390/microorganisms10122362.","Francine P","Microorganisms","2022","2022/12/23","PMC9781975","","10.3390/microorganisms10122362"
"36544480","A guide to multi-omics data collection and integration for translational medicine","Athieniti E, Spyrou GM.","Comput Struct Biotechnol J. 2022 Dec 1;21:134-149. doi: 10.1016/j.csbj.2022.11.050. eCollection 2023.","Athieniti E","Comput Struct Biotechnol J","2022","2022/12/22","PMC9747357","","10.1016/j.csbj.2022.11.050"
