PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"21359215","The human serum metabolome","Psychogios N, Hau DD, Peng J, Guo AC, Mandal R, Bouatra S, Sinelnikov I, Krishnamurthy R, Eisner R, Gautam B, Young N, Xia J, Knox C, Dong E, Huang P, Hollander Z, Pedersen TL, Smith SR, Bamforth F, Greiner R, McManus B, Newman JW, Goodfriend T, Wishart DS.","PLoS One. 2011 Feb 16;6(2):e16957. doi: 10.1371/journal.pone.0016957.","Psychogios N","PLoS One","2011","2011/03/02","PMC3040193","","10.1371/journal.pone.0016957"
"37901879","Helicobacter pylori extract induces purified neutrophils to produce reactive oxygen species only in the presence of plasma","Thai TD, Chuenchom C, Donsa W, Faksri K, Sripa B, Edwards SW, Salao K.","Biomed Rep. 2023 Oct 5;19(6):89. doi: 10.3892/br.2023.1671. eCollection 2023 Dec.","Thai TD","Biomed Rep","2023","2023/10/30","PMC10603375","","10.3892/br.2023.1671"
"37868977","Innate lymphoid cells and tumor-derived lactic acid: novel contenders in an enduring game","Marciniak M, Wagner M.","Front Immunol. 2023 Oct 5;14:1236301. doi: 10.3389/fimmu.2023.1236301. eCollection 2023.","Marciniak M","Front Immunol","2023","2023/10/23","PMC10585168","","10.3389/fimmu.2023.1236301"
"37719197","Integrative multi-omics and systems bioinformatics in translational neuroscience: A data mining perspective","O'Connor LM, O'Connor BA, Lim SB, Zeng J, Lo CH.","J Pharm Anal. 2023 Aug;13(8):836-850. doi: 10.1016/j.jpha.2023.06.011. Epub 2023 Jun 30.","O'Connor LM","J Pharm Anal","2023","2023/09/18","PMC10499660","","10.1016/j.jpha.2023.06.011"
"37689063","Screening in serum-derived medium reveals differential response to compounds targeting metabolism","Abbott KL, Ali A, Casalena D, Do BT, Ferreira R, Cheah JH, Soule CK, Deik A, Kunchok T, Schmidt DR, Renner S, Honeder SE, Wu M, Chan SH, Tseyang T, Stoltzfus AT, Michel SLJ, Greaves D, Hsu PP, Ng CW, Zhang CJ, Farsidjani A, Kent JR, Madariaga MLL, Gramatikov IMT, Matheson NJ, Lewis CA, Clish CB, Rees MG, Roth JA, Griner LM, Muir A, Auld DS, Vander Heiden MG.","Cell Chem Biol. 2023 Sep 21;30(9):1156-1168.e7. doi: 10.1016/j.chembiol.2023.08.007. Epub 2023 Sep 8.","Abbott KL","Cell Chem Biol","2023","2023/09/09","PMC10581593","NIHMS1931338","10.1016/j.chembiol.2023.08.007"
"37660197","Integrating glycolysis, citric acid cycle, pentose phosphate pathway, and fatty acid beta-oxidation into a single computational model","Kloska SM, Pałczyński K, Marciniak T, Talaśka T, Wysocki BJ, Davis P, Wysocki TA.","Sci Rep. 2023 Sep 2;13(1):14484. doi: 10.1038/s41598-023-41765-3.","Kloska SM","Sci Rep","2023","2023/09/02","PMC10475038","","10.1038/s41598-023-41765-3"
"37629541","Early Perturbations in Red Blood Cells in Response to Murine Malarial Parasite Infection: Proof-of-Concept (1)H NMR Metabolomic Study","Sengupta A, Ghosh S, Sharma S, Sonawat HM.","Life (Basel). 2023 Aug 4;13(8):1684. doi: 10.3390/life13081684.","Sengupta A","Life (Basel)","2023","2023/08/26","PMC10455252","","10.3390/life13081684"
"37623872","Multi-Modality, Multi-Dimensional Characterization of Pediatric Non-Alcoholic Fatty Liver Disease","Jamshidi N, Feizi A, Sirlin CB, Lavine JE, Kuo MD.","Metabolites. 2023 Aug 8;13(8):929. doi: 10.3390/metabo13080929.","Jamshidi N","Metabolites","2023","2023/08/25","PMC10456937","","10.3390/metabo13080929"
"37601765","Effects of bovine respiratory disease on the plasma metabolome of beef steers during the receiving period","Eichie FO, Taiwo G, Idowu M, Sidney T, Treon E, Ologunagba D, Leal Y, Ogunade IM.","Front Vet Sci. 2023 Aug 4;10:1239651. doi: 10.3389/fvets.2023.1239651. eCollection 2023.","Eichie FO","Front Vet Sci","2023","2023/08/21","PMC10436613","","10.3389/fvets.2023.1239651"
"37591854","Pyruvate anaplerosis is a targetable vulnerability in persistent leukaemic stem cells","Rattigan KM, Brabcova Z, Sarnello D, Zarou MM, Roy K, Kwan R, de Beauchamp L, Dawson A, Ianniciello A, Khalaf A, Kalkman ER, Scott MT, Dunn K, Sumpton D, Michie AM, Copland M, Tardito S, Gottlieb E, Vignir Helgason G.","Nat Commun. 2023 Aug 17;14(1):4634. doi: 10.1038/s41467-023-40222-z.","Rattigan KM","Nat Commun","2023","2023/08/17","PMC10435520","","10.1038/s41467-023-40222-z"
