PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"24023812","The human urine metabolome","Bouatra S, Aziat F, Mandal R, Guo AC, Wilson MR, Knox C, Bjorndahl TC, Krishnamurthy R, Saleem F, Liu P, Dame ZT, Poelzer J, Huynh J, Yallou FS, Psychogios N, Dong E, Bogumil R, Roehring C, Wishart DS.","PLoS One. 2013 Sep 4;8(9):e73076. doi: 10.1371/journal.pone.0073076. eCollection 2013.","Bouatra S","PLoS One","2013","2013/09/12","PMC3762851","","10.1371/journal.pone.0073076"
"37887396","Urinary Metabolite Profiling to Non-Invasively Monitor the Omega-3 Index: An Exploratory Secondary Analysis of a Randomized Clinical Trial in Young Adults","MacIntyre BC, Shanmuganathan M, Klingel SL, Kroezen Z, Helmeczi E, Seoh NY, Martinez V, Chabowski A, Feng Z, Britz-McKibbin P, Mutch DM.","Metabolites. 2023 Oct 12;13(10):1071. doi: 10.3390/metabo13101071.","MacIntyre BC","Metabolites","2023","2023/10/27","PMC10608872","","10.3390/metabo13101071"
"37887109","Bacteria-Infected Artificial Urine Characterization Based on a Combined Approach Using an Electronic Tongue Complemented with (1)H-NMR and Flow Cytometry","Psotta C, Nilsson EJ, Sjöberg T, Falk M.","Biosensors (Basel). 2023 Oct 5;13(10):916. doi: 10.3390/bios13100916.","Psotta C","Biosensors (Basel)","2023","2023/10/27","PMC10605348","","10.3390/bios13100916"
"37881590","Lipid Biomarker Research in Bipolar Disorder: A Scoping Review of Trends, Challenges, and Future Directions","Hiller JK, Jangmo A, Tesli MS, Jaholkowski PP, Hoseth EZ, Steen NE, Haram M.","Biol Psychiatry Glob Open Sci. 2023 Jul 23;3(4):594-604. doi: 10.1016/j.bpsgos.2023.07.004. eCollection 2023 Oct.","Hiller JK","Biol Psychiatry Glob Open Sci","2023","2023/10/26","PMC10593953","","10.1016/j.bpsgos.2023.07.004"
"37623852","The Expectation and Reality of the HepG2 Core Metabolic Profile","Kiseleva OI, Kurbatov IY, Arzumanian VA, Ilgisonis EV, Zakharov SV, Poverennaya EV.","Metabolites. 2023 Aug 3;13(8):908. doi: 10.3390/metabo13080908.","Kiseleva OI","Metabolites","2023","2023/08/25","PMC10456947","","10.3390/metabo13080908"
"37621352","Silver nanoparticles (AgNPs) based selective colorimetric sensor for the detection of D-arabinitol in a urine sample","Retnaningtyas Y, Siswodihardjo S, Satya Nugraha A.","Turk J Chem. 2022 Jun 1;46(6):1817-1826. doi: 10.55730/1300-0527.3482. eCollection 2022.","Retnaningtyas Y","Turk J Chem","2022","2023/08/25","PMC10446936","","10.55730/1300-0527.3482"
"37551126","Urine myo-inositol as a novel prognostic biomarker for diabetic kidney disease: a targeted metabolomics study using nuclear magnetic resonance","Kwon S, Hyeon JS, Jung Y, Li L, An JN, Kim YC, Yang SH, Kim T, Kim DK, Lim CS, Hwang GS, Lee JP.","Kidney Res Clin Pract. 2023 Jul;42(4):445-459. doi: 10.23876/j.krcp.22.152. Epub 2023 Jul 25.","Kwon S","Kidney Res Clin Pract","2023","2023/08/08","PMC10407640","","10.23876/j.krcp.22.152"
"37474649","In-depth metataxonomic investigation reveals low richness, high intervariability, and diverse phylotype candidates of archaea in the human urogenital tract","Kim YB, Whon TW, Kim JY, Kim J, Kim Y, Lee SH, Park SE, Kim EJ, Son HS, Roh SW.","Sci Rep. 2023 Jul 20;13(1):11746. doi: 10.1038/s41598-023-38710-9.","Kim YB","Sci Rep","2023","2023/07/20","PMC10359320","","10.1038/s41598-023-38710-9"
"37468430","An epidemiological introduction to human metabolomic investigations","Joshi AD, Rahnavard A, Kachroo P, Mendez KM, Lawrence W, Julián-Serrano S, Hua X, Fuller H, Sinnott-Armstrong N, Tabung FK, Shutta KH, Raffield LM, Darst BF; COMETS Early Career Scientist Working Group.","Trends Endocrinol Metab. 2023 Sep;34(9):505-525. doi: 10.1016/j.tem.2023.06.006. Epub 2023 Jul 17.","Joshi AD","Trends Endocrinol Metab","2023","2023/07/19","PMC10527234","NIHMS1911437","10.1016/j.tem.2023.06.006"
"37418094","NMR metabolite quantification of a synthetic urine sample: an inter-laboratory comparison of processing workflows","Canlet C, Deborde C, Cahoreau E, Da Costa G, Gautier R, Jacob D, Jousse C, Lacaze M, Le Mao I, Martineau E, Peyriga L, Richard T, Silvestre V, Traïkia M, Moing A, Giraudeau P.","Metabolomics. 2023 Jul 7;19(7):65. doi: 10.1007/s11306-023-02028-4.","Canlet C","Metabolomics","2023","2023/07/07","PMC10328857","","10.1007/s11306-023-02028-4"
"37394521","Deciphering the human urine matrix: a new approach to simultaneously quantify the main ions and organic compounds by ion chromatography/mass spectrometry (IC-MS)","Hopsort G, Latapie L, Groenen Serrano K, Loubière K, Tzedakis T.","Anal Bioanal Chem. 2023 Sep;415(22):5337-5352. doi: 10.1007/s00216-023-04808-2. Epub 2023 Jul 3.","Hopsort G","Anal Bioanal Chem","2023","2023/07/02","","","10.1007/s00216-023-04808-2"
