PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"25527831","Workflow4Metabolomics: a collaborative research infrastructure for computational metabolomics","Giacomoni F, Le Corguillé G, Monsoor M, Landi M, Pericard P, Pétéra M, Duperier C, Tremblay-Franco M, Martin JF, Jacob D, Goulitquer S, Thévenot EA, Caron C.","Bioinformatics. 2015 May 1;31(9):1493-5. doi: 10.1093/bioinformatics/btu813. Epub 2014 Dec 19.","Giacomoni F","Bioinformatics","2015","2014/12/21","PMC4410648","","10.1093/bioinformatics/btu813"
"38036896","A new statistical workflow (R-packages based) to investigate associations between one variable of interest and the metabolome","Ferrario PG, Bub A, Frommherz L, Krüger R, Rist MJ, Watzl B.","Metabolomics. 2023 Nov 30;20(1):2. doi: 10.1007/s11306-023-02065-z.","Ferrario PG","Metabolomics","2023","2023/11/30","PMC10689553","","10.1007/s11306-023-02065-z"
"37969962","OpenNAU: An open-source platform for normalizing, analyzing, and visualizing cancer untargeted metabolomics data","Sun Q, Xu Q, Wang M, Wang Y, Zhang D, Lai M.","Chin J Cancer Res. 2023 Oct 30;35(5):550-562. doi: 10.21147/j.issn.1000-9604.2023.05.11.","Sun Q","Chin J Cancer Res","2023","2023/11/16","PMC10643343","","10.21147/j.issn.1000-9604.2023.05.11"
"37894223","Monophasic Variant of Salmonella Typhimurium Infection Affects the Serum Metabolome in Swine","Larivière-Gauthier G, Kerouanton A, Mompelat S, Bougeard S, Denis M, Fravalo P.","Microorganisms. 2023 Oct 15;11(10):2565. doi: 10.3390/microorganisms11102565.","Larivière-Gauthier G","Microorganisms","2023","2023/10/28","PMC10608901","","10.3390/microorganisms11102565"
"37755959","Untargeted Metabolomics Approach Correlated Enniatin B Mycotoxin Presence in Cereals with Kashin-Beck Disease Endemic Regions of China","Sun D, Chasseur C, Mathieu F, Lechanteur J, Van Antwerpen P, Rasschaert J, Fontaine V, Delporte C.","Toxins (Basel). 2023 Aug 30;15(9):533. doi: 10.3390/toxins15090533.","Sun D","Toxins (Basel)","2023","2023/09/27","PMC10537395","","10.3390/toxins15090533"
"37676384","Metabolic signatures of Arabidopsis thaliana abiotic stress responses elucidate patterns in stress priming, acclimation, and recovery","Xu Y, Freund DM, Hegeman AD, Cohen JD.","Stress Biol. 2022 Feb 15;2(1):11. doi: 10.1007/s44154-022-00034-5.","Xu Y","Stress Biol","2022","2023/09/07","PMC10441859","","10.1007/s44154-022-00034-5"
"37602325","Right in two: capabilities of ion mobility spectrometry for untargeted metabolomics","Moses T, Burgess K.","Front Mol Biosci. 2023 Aug 4;10:1230282. doi: 10.3389/fmolb.2023.1230282. eCollection 2023.","Moses T","Front Mol Biosci","2023","2023/08/21","PMC10436490","","10.3389/fmolb.2023.1230282"
"37569425","Untargeted Multiomics Approach Coupling Lipidomics and Metabolomics Profiling Reveals New Insights in Diabetic Retinopathy","Ancel P, Martin JC, Doukbi E, Houssays M, Gascon P, Righini M, Matonti F, Svilar L, Valmori M, Tardivel C, Venteclef N, Julla JB, Gautier JF, Resseguier N, Dutour A, Gaborit B.","Int J Mol Sci. 2023 Jul 27;24(15):12053. doi: 10.3390/ijms241512053.","Ancel P","Int J Mol Sci","2023","2023/08/12","PMC10418671","","10.3390/ijms241512053"
"37566664","Metabolomics in archaeological science: A review of their advances and present requirements","Badillo-Sanchez D, Serrano Ruber M, Davies-Barrett A, Jones DJL, Hansen M, Inskip S.","Sci Adv. 2023 Aug 11;9(32):eadh0485. doi: 10.1126/sciadv.adh0485. Epub 2023 Aug 11.","Badillo-Sanchez D","Sci Adv","2023","2023/08/11","PMC10421062","","10.1126/sciadv.adh0485"
"37508443","Symbiont Identity Impacts the Microbiome and Volatilome of a Model Cnidarian-Dinoflagellate Symbiosis","Wuerz M, Lawson CA, Oakley CA, Possell M, Wilkinson SP, Grossman AR, Weis VM, Suggett DJ, Davy SK.","Biology (Basel). 2023 Jul 17;12(7):1014. doi: 10.3390/biology12071014.","Wuerz M","Biology (Basel)","2023","2023/07/29","PMC10376011","","10.3390/biology12071014"
