PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"22533540","XCMS Online: a web-based platform to process untargeted metabolomic data","Tautenhahn R, Patti GJ, Rinehart D, Siuzdak G.","Anal Chem. 2012 Jun 5;84(11):5035-9. doi: 10.1021/ac300698c. Epub 2012 May 10.","Tautenhahn R","Anal Chem","2012","2012/04/27","PMC3703953","NIHMS486504","10.1021/ac300698c"
"37891331","Non-targeted metabolomics aids in sex pheromone identification: a proof-of-concept study with the triangulate cobweb spider, Steatoda triangulosa","Fischer A, Roman-Torres AC, Vurdela J, Lee Y, Bahar N, Gries R, Alamsetti S, Chen H, Gries G.","Sci Rep. 2023 Oct 27;13(1):18426. doi: 10.1038/s41598-023-44948-0.","Fischer A","Sci Rep","2023","2023/10/27","PMC10611747","","10.1038/s41598-023-44948-0"
"37887419","Lipid and Amino Acid Pathway Metabolites Contribute to Cold Tolerance in Quercus wutaishanica","Li Q, Xu Y, Liu YQ, Qin L.","Metabolites. 2023 Oct 19;13(10):1094. doi: 10.3390/metabo13101094.","Li Q","Metabolites","2023","2023/10/27","PMC10608989","","10.3390/metabo13101094"
"37857709","Progress and challenges in exploring aquatic microbial communities using non-targeted metabolomics","Thukral M, Allen AE, Petras D.","ISME J. 2023 Dec;17(12):2147-2159. doi: 10.1038/s41396-023-01532-8. Epub 2023 Oct 19.","Thukral M","ISME J","2023","2023/10/19","PMC10689791","","10.1038/s41396-023-01532-8"
"37843804","Metabolomics Applied to Cyanobacterial Toxins and Natural Products","Weiss MB, Médice RV, Jacinavicius FR, Pinto E, Crnkovic CM.","Adv Exp Med Biol. 2023;1439:21-49. doi: 10.1007/978-3-031-41741-2_2.","Weiss MB","Adv Exp Med Biol","2023","2023/10/16","","","10.1007/978-3-031-41741-2_2"
"37791788","Volatile profiling distinguishes Streptococcus pyogenes from other respiratory streptococcal species","Berna AZ, Merriman JA, Mellett L, Parchment DK, Caparon MG, Odom John AR.","mSphere. 2023 Oct 24;8(5):e0019423. doi: 10.1128/msphere.00194-23. Epub 2023 Oct 4.","Berna AZ","mSphere","2023","2023/10/04","PMC10597408","","10.1128/msphere.00194-23"
"37634175","Identification of potential salivary biomarkers for Sjögren's syndrome with an untargeted metabolomic approach","Bosman P, Pichon V, Acevedo AC, Modesto FMB, Paula LM, Le Pottier L, Pers JO, Chardin H, Combès A.","Metabolomics. 2023 Aug 27;19(9):76. doi: 10.1007/s11306-023-02040-8.","Bosman P","Metabolomics","2023","2023/08/27","","","10.1007/s11306-023-02040-8"
"37629099","Molecular Interplay between Non-Host Resistance, Pathogens and Basal Immunity as a Background for Fatal Yellowing in Oil Palm (Elaeis guineensis Jacq.) Plants","Bittencourt CB, Carvalho da Silva TL, Rodrigues Neto JC, Leão AP, de Aquino Ribeiro JA, Maia AHN, de Sousa CAF, Quirino BF, Souza Júnior MT.","Int J Mol Sci. 2023 Aug 18;24(16):12918. doi: 10.3390/ijms241612918.","Bittencourt CB","Int J Mol Sci","2023","2023/08/26","PMC10454536","","10.3390/ijms241612918"
"37578818","Evaluation of Data-Dependent MS/MS Acquisition Parameters for Non-Targeted Metabolomics and Molecular Networking of Environmental Samples: Focus on the Q Exactive Platform","Stincone P, Pakkir Shah AK, Schmid R, Graves LG, Lambidis SP, Torres RR, Xia SN, Minda V, Aron AT, Wang M, Hughes CC, Petras D.","Anal Chem. 2023 Aug 29;95(34):12673-12682. doi: 10.1021/acs.analchem.3c01202. Epub 2023 Aug 14.","Stincone P","Anal Chem","2023","2023/08/14","PMC10469366","","10.1021/acs.analchem.3c01202"
"37571033","PlantMetSuite: A User-Friendly Web-Based Tool for Metabolomics Analysis and Visualisation","Liu Y, Liu HZ, Chen DK, Zeng HY, Chen YL, Yao N.","Plants (Basel). 2023 Aug 6;12(15):2880. doi: 10.3390/plants12152880.","Liu Y","Plants (Basel)","2023","2023/08/12","PMC10421497","","10.3390/plants12152880"
